id,organization_name,Category_ML_Org,Source,headquarters_location,linkedin_id,total_headcount,filter_broad_yes,filter_strict_no,filter_broad_yes_strict_no,filter_non_english_keywords_CV,claude_total_employees,claude_total_rejected,claude_total_accepted,gpt5_total_employees,gpt5_total_rejected,gpt5_total_accepted,gemini_total_employees,gemini_total_rejected,gemini_total_accepted,LLM_count_within_3x_filter,max_headcount,max_population,max_percentage,talent_dense,stage_reached,category,Headquarters Location,Total Headcount,Organization Name,Stage Reached,Founded Date,country,subregion,ml_share,ml_share_lower80,ml_share_upper80,mean,q10,q50,q90,synthetic_mean,synthetic_q10,synthetic_q50,synthetic_q90,adjusted_synthetic_mean,adjusted_synthetic_q10,adjusted_synthetic_q50,adjusted_synthetic_q90,synthetic_adjustment_factor
1,Patagonia,Non_ML_Org,Manual Selection,United States,patagonia_2,3500,0.0,1.0,0.0,816,2544,2544,0.0,2542,2542,0.0,2515,2515,0.0,True,True,False,False,True,,,United States,3500,Patagonia,,1973,Unknown,Unknown,0.0,0.0,0.0,0.0302734375,0.0,0.0,0.0,6.7509765625,1.0,5.0,15.0,5.401084937654633,0.8000449842555106,4.000224921277553,12.00067476383266,1.2499297160528535
2,The North Face,Non_ML_Org,Manual Selection,United States,the-north-face,4500,2.0,0.0,0.0,1100,3350,3350,0.0,3351,3351,0.0,3315,3315,0.0,True,True,False,False,True,,,United States,4500,The North Face,,1966,Unknown,Unknown,0.0,0.0,0.0,0.041015625,0.0,0.0,0.0,8.7685546875,1.0,6.0,19.0,7.015238196904521,0.8000449842555106,4.800269905533064,15.2008547008547,1.2499297160528535
3,YETI,Non_ML_Org,Manual Selection,United States,yeti,2000,5.0,0.0,0.0,359,1145,1144,1.0,1144,1144,0.0,1132,1131,1.0,True,True,True,False,True,,,United States,2000,YETI,,2006,Unknown,Unknown,0.0,0.0,0.0,0.0576171875,0.0,0.0,0.0,4.1787109375,0.0,3.0,9.0,3.3431567262005175,0.0,2.400134952766532,7.200404858299595,1.2499297160528535
4,Hydro Flask,Non_ML_Org,Manual Selection,United States,hydro-flask,135,0.0,1.0,0.0,18,93,93,0.0,93,93,0.0,92,92,0.0,True,True,False,False,True,,,United States,135,Hydro Flask,,2009,Unknown,Unknown,0.0,0.0,0.0,0.0009765625,0.0,0.0,0.0,1.615234375,0.0,1.0,4.0,1.2922601601158346,0.0,0.8000449842555106,3.2001799370220425,1.2499297160528535
5,New York Philharmonic,Non_ML_Org,Manual Selection,United States,new-york-philharmonic,288,0.0,0.0,0.0,75,178,178,0.0,178,178,0.0,176,176,0.0,True,True,False,False,True,,,United States,288,New York Philharmonic,,1842,Unknown,Unknown,0.0,0.0,0.0,0.0029296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2499297160528535
6,London Symphony Orchestra,Non_ML_Org,Manual Selection,United Kingdom,london-symphony-orchestra,232,0.0,0.0,0.0,90,110,110,0.0,110,110,0.0,110,110,0.0,True,True,False,False,True,,,United Kingdom,232,London Symphony Orchestra,,1904,Unknown,Unknown,0.0,0.0,0.0,0.00390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2499297160528535
7,Museo Nacional del Prado,Non_ML_Org,Manual Selection,Spain,museo-nacional-del-prado,296,0.0,0.0,0.0,202,120,120,0.0,120,120,0.0,117,117,0.0,True,True,False,False,True,,,Spain,296,Museo Nacional del Prado,,1819,Unknown,Unknown,0.0,0.0,0.0,0.0029296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2499297160528535
8,The British Museum,Non_ML_Org,Manual Selection,United Kingdom,the-british-museum,1000,0.0,1.0,0.0,573,910,910,0.0,910,910,0.0,903,903,0.0,True,True,False,False,True,,,United Kingdom,1000,The British Museum,,1753,Unknown,Unknown,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,1.98046875,0.0,1.0,5.0,1.5844640899122806,0.0,0.8000449842555106,4.000224921277553,1.2499297160528535
9,"Crocs, Inc.",Non_ML_Org,Manual Selection,United States,crocsinc,5500,3.0,1.0,0.0,962,3650,3650,0.0,3652,3652,0.0,3608,3608,0.0,True,True,False,False,True,,,United States,5500,"Crocs, Inc.",,2002,Unknown,Unknown,0.0,0.0,0.0,0.0390625,0.0,0.0,0.0,11.1923828125,1.0,9.0,24.700000000000045,8.95440973100821,0.8000449842555106,7.200404858299595,19.76111111111115,1.2499297160528535
10,LVMH,Non_ML_Org,Manual Selection,France,lvmh,7000,17.0,2.0,0.0,2900,4357,4356,1.0,4353,4348,5.0,4304,4292,12.0,True,True,True,False,True,,,France,7000,LVMH,,1987,Unknown,Unknown,0.0,0.0,0.0,0.0673828125,0.0,0.0,0.0,14.8388671875,2.0,11.0,31.0,11.871761265393049,1.6000899685110213,8.800494826810617,24.80139451192083,1.2499297160528535
