linkedin_id,company_name,mean,std,q10,q50,q90,n_employees,headcount_ratio,headcount_mismatch
yandex,Yandex,62.8447265625,19.731011231614737,41.0,59.5,87.0,13174,0.7517655099096363,False
scaleai,Scale AI,48.54296875,20.90814428485999,28.0,44.0,73.0,5800,1.5748031496062993,False
cohere-ai,Cohere,48.3232421875,20.272701560244016,26.0,45.0,77.0,831,1.3025078369905956,False
cerebras-systems,Cerebras Systems,39.419921875,16.835179684039506,21.0,37.0,61.0,726,1.2474226804123711,False
quantiphi,Quantiphi,32.2197265625,12.812178407680403,19.0,30.0,47.0,3800,1.1176470588235294,False
mistralai,Mistral AI,28.7431640625,16.24601670375568,12.0,26.0,50.700000000000045,442,1.589928057553957,False
facultyai,Faculty,28.00390625,11.203810751981262,15.0,26.0,42.0,939,2.3300248138957818,False
preferred-networks,Preferred Networks,24.7666015625,13.569886301361281,10.0,22.0,44.0,303,1.3526785714285714,False
navercloud,Naver Cloud,22.7412109375,10.672340349409327,12.0,21.0,35.0,1300,1.4672686230248306,False
booz-allen-hamilton,Booz Allen Hamilton,20.29296875,10.515432732965555,9.0,18.0,34.0,41000,1.3297441053416794,False
liquid-ai-inc,Liquid AI,15.9521484375,6.445130131771298,8.0,15.0,25.0,79,1.3859649122807018,False
lgcns,LG CNS,15.822265625,8.381157504601818,7.0,14.0,27.0,5400,1.399326250323918,False
omdena,Omdena,15.4169921875,8.002376620608652,7.0,14.0,26.0,556,1.5316804407713498,False
upstageai,Upstage,14.66015625,6.161857723169689,8.0,14.0,23.0,187,1.4274809160305344,False
quantco,QuantCo,13.97265625,6.389936116217121,7.0,13.0,23.0,237,1.144927536231884,False
sambanova,SambaNova Systems,13.7685546875,6.975273534408653,6.0,13.0,23.0,474,1.2473684210526317,False
bcg-x,BCG X,12.8916015625,7.068371990157815,6.0,12.0,22.0,2600,1.8624641833810889,False
ml6team,ML6,11.0556640625,4.970206856826584,5.0,11.0,18.0,130,1.04,False
quantumblack,QuantumBlack,10.650390625,6.791311648710587,3.0,9.0,19.0,523,1.5159420289855072,False
infocusp,InFocusp,10.5478515625,4.326929581466089,5.0,10.0,16.0,228,1.0604651162790697,False
publicissapient,Publicis Sapient,9.369140625,8.865447370210632,2.0,7.0,20.0,21000,1.2267788293024886,False
tryolabs,Tryolabs,7.8046875,4.792260351581887,2.0,7.0,14.0,98,1.3066666666666666,False
beyond-ai,Beyond Limits,7.48046875,3.8567627007988756,3.0,7.0,12.0,295,1.8209876543209877,False
