linkedin_id,company_name,mean,std,q10,q50,q90,n_employees
googledeepmind,Google DeepMind,272.693359375,135.3396830188844,166.0,237.0,414.70000000000005,6500
openai,OpenAI ,111.1923828125,60.17589046737036,61.0,96.0,173.0,6500
huggingface,Hugging Face,50.6064453125,21.102345412191667,27.0,46.0,80.0,603
xai,xAI,35.76953125,19.36006504457755,17.0,31.0,59.0,3000
mistralai,Mistral AI,31.115234375,17.34210021274293,12.0,27.0,57.0,440
allen-ai,AI2,26.3798828125,15.420259400745083,9.0,24.0,48.0,313
perplexity-ai,Perplexity AI,13.96484375,6.793316911721838,6.0,13.0,23.0,1000
midjourney,Midjourney,8.306640625,4.628136061320973,3.0,8.0,15.0,171
character-ai,Character.AI,7.7373046875,3.790708078352978,3.0,7.0,13.0,207
ai21,AI21 Labs,7.244140625,4.96048495413751,2.0,6.0,14.0,250
baidu-usa,Baidu Research (Baidu USA),5.310546875,3.7331975253698717,1.0,5.0,11.0,238
lawzero,LawZero,2.4033203125,1.796923562098539,0.0,2.0,5.0,11
