linkedin_id,company_name,mean,std,q10,q50,q90,n_employees
yandex,Yandex,63.595703125,20.719400939382037,41.0,60.0,90.0,13174
scaleai,Scale AI,48.9677734375,19.204388346447523,29.0,45.0,75.0,5800
cohere-ai,Cohere,48.4521484375,19.96020590081591,26.0,45.0,76.0,831
cerebras-systems,Cerebras Systems,39.35546875,16.657469742364036,21.0,36.0,61.0,726
quantiphi,Quantiphi,32.0380859375,12.188842660353966,19.0,30.5,46.0,3800
mistralai,Mistral AI,30.0078125,16.744225260962175,11.0,27.0,53.0,442
facultyai,Faculty,29.0458984375,12.409706806405019,15.0,27.0,45.0,939
cognizant,Cognizant,27.103515625,28.068711508820293,2.0,18.0,65.0,300000
preferred-networks,Preferred Networks,24.79296875,13.700126502573742,10.0,22.0,43.0,303
navercloud,Naver Cloud,22.5361328125,10.93297509463279,12.0,20.0,35.0,1300
booz-allen-hamilton,Booz Allen Hamilton,20.5087890625,10.300841937792288,9.0,18.0,34.0,41000
liquid-ai-inc,Liquid AI,16.3935546875,6.222941227462042,9.0,16.0,25.0,79
lgcns,LG CNS,15.5029296875,8.256625607167322,6.0,14.0,27.0,5400
omdena,Omdena,15.470703125,8.180168538490832,7.0,14.0,26.0,556
upstageai,Upstage,14.4287109375,6.276879379482122,7.0,13.0,23.0,187
sambanova,SambaNova Systems,13.89453125,6.6594482761542215,6.0,13.0,23.0,474
quantco,QuantCo,13.8427734375,6.314641230548608,7.0,13.0,22.0,237
bcg-x,BCG X,13.0205078125,7.027052173004443,5.0,12.0,22.0,2600
lighton,LightOn,11.69140625,7.764382092121751,3.0,10.0,22.0,287
genpact,Genpact,11.2705078125,13.091626816819844,0.0,7.0,28.0,130000
ml6team,ML6,10.7568359375,4.884851039305958,5.0,10.0,17.0,130
quantumblack,QuantumBlack,10.67578125,6.700655822540689,3.0,10.0,19.0,523
infocusp,InFocusp,10.5625,4.20681181240616,6.0,10.0,16.0,228
publicissapient,Publicis Sapient,9.0302734375,7.815378314994223,2.0,6.0,19.0,21000
ipe-maintenance-et-solutions-informatique,ipe,8.1591796875,7.20941317928078,1.0,6.0,18.0,9400
tryolabs,Tryolabs,8.0556640625,4.869169906118085,2.0,7.0,14.700000000000045,98
beyond-ai,Beyond Limits,7.423828125,3.7658595095222265,3.0,7.0,12.0,295
cambridge-consultants,Cambridge Consultants,6.68359375,4.589547862803148,2.0,6.0,13.0,794
g-research,G-Research,6.5751953125,3.6917626264398455,3.0,6.0,11.0,1100
inflectionai,Inflection AI,6.544921875,3.541596236183126,2.0,6.0,12.0,63
presight-ai,Presight,6.1572265625,4.071346920313281,2.0,5.0,11.0,510
abacusai,Abacus.AI,6.0576171875,3.285206035731182,2.0,6.0,10.0,185
swisscom,Swisscom,5.3955078125,3.2471170109423935,2.0,5.0,9.700000000000045,15000
visium-sa,Visium,5.28125,2.9449705537577113,2.0,5.0,9.0,75
akvelon,Akvelon,5.1494140625,3.438087967959407,1.0,5.0,9.0,688
estsoft-corp,ESTsoft,4.9912109375,2.900518693247877,2.0,5.0,9.0,388
modulai,Modulai,4.8955078125,2.4913560203735363,2.0,5.0,8.0,27
avanade,Avanade,4.8076171875,4.016944163908006,1.0,4.0,10.0,17000
activefence,ActiveFence,4.650390625,2.528130764005713,2.0,4.0,8.0,334
auriznco,Aurizn,4.6396484375,2.3522824424171107,2.0,4.0,8.0,169
nec,NEC Corporation,4.4775390625,3.4037380930804035,1.0,4.0,9.0,11000
the-ifish-group-inc-,IFG,4.3857421875,4.420150042960388,0.0,3.0,10.0,4800
ntt-research,NTT Research,4.349609375,3.11072361515968,1.0,4.0,9.0,85
supply-solutions---procurement-consulting-services,Supply Solutions,4.2021484375,4.963652581186188,0.0,3.0,10.0,47000
saitsrl,SAIT,4.1748046875,4.114061011789692,0.0,3.0,10.0,4800
agency-enterprise-studio,AE Studio,4.16015625,2.9484063450592997,1.0,4.0,8.0,205
adaptive-ml,Adaptive ML,4.076171875,2.74823426866397,1.0,4.0,8.0,31
