linkedin_id,company_name,mean,std,q10,q50,q90,n_employees
tata-consultancy-services,Tata Consultancy Services,183.314453125,302.8251267138052,16.0,109.0,403.0,640000
amazonscience,Amazon,178.8955078125,300.5050498407976,16.0,112.0,385.4000000000001,540000
accenture,Accenture,150.5009765625,201.03319066523898,17.0,95.0,350.2000000000003,550000
deloitte,Deloitte,115.24609375,157.4159807655062,10.0,68.0,264.70000000000005,430000
microsoftresearch,Microsoft,88.3037109375,252.97017747029776,4.0,33.0,154.70000000000005,22000
googledeepmind,Google DeepMind,85.7685546875,70.26626359964519,17.0,67.0,173.0,6500
ibm,IBM,81.1201171875,114.0415144461602,7.0,53.0,179.70000000000005,290000
cognizant,Cognizant,77.3662109375,94.50426614305174,7.0,46.0,180.0,300000
capgemini,Capgemini,76.4755859375,120.29207371104529,7.0,48.0,164.0,260000
meta,Meta,63.6533203125,135.96688593553498,4.0,34.0,132.0,70000
yandex,Yandex,57.810546875,56.391586096805504,10.0,42.0,124.0,9900
cohere-ai,Cohere,57.787109375,28.349513434215886,25.0,54.0,95.0,831
10,10,53.2041015625,26.130612860966064,22.0,51.0,87.70000000000005,0
openai,OpenAI ,42.1181640625,36.89184866866709,7.0,32.0,87.0,6500
nvidia,NVIDIA,36.4189453125,82.07306239420237,2.0,19.0,76.0,43000
mistralai,Mistral AI,34.923828125,18.883639852937755,12.300000000000011,32.0,62.0,442
scaleai,Scale AI,31.099609375,26.442631000382924,5.0,24.0,65.0,5800
genpact,Genpact,30.029296875,33.41496204648623,3.0,20.0,68.0,130000
cerebras-systems,Cerebras Systems,29.7177734375,15.560348637801129,11.0,28.0,50.0,726
quantiphi,Quantiphi,25.4912109375,24.454236614079377,4.0,18.0,53.0,3800
facultyai,Faculty,20.96875,11.960832890626806,7.0,19.0,38.0,939
omdena,Omdena,20.7490234375,11.328825367290984,8.0,19.0,36.0,556
huggingface,Hugging Face,20.6904296875,10.972304721849401,7.300000000000011,19.0,36.0,603
preferred-networks,Preferred Networks,19.94140625,12.128884863105139,7.0,18.0,37.0,303
datascience.co.il,Data Science Group,19.2890625,10.85461620100378,7.0,17.0,34.0,490
ipe-maintenance-et-solutions-informatique,ipe,18.861328125,16.517104906311033,3.0,15.0,41.0,9400
encorainc,Encora,18.63671875,16.24653987725997,3.0,14.0,39.0,7200
fusion-bpo-services,Fusion,18.43359375,20.18647163535423,1.0,13.0,43.0,85000
burberry,Burberry,17.4736328125,15.407083144496344,3.0,13.0,38.0,8500
sambanova,SambaNova Systems,17.3671875,9.776802977704099,6.0,15.0,31.0,474
357,WA,17.3125,18.40500314112986,1.0,11.0,43.0,87000
quantumblack,QuantumBlack,16.4580078125,8.849114667930852,6.0,15.0,29.0,523
allen-ai,AI2,16.263671875,8.788798390128994,6.0,15.0,28.0,313
penguin-random-house-publishing,Penguin Random House,16.064453125,14.257459194038667,2.0,12.0,35.0,8000
lgcns,LG CNS,15.5009765625,13.577972130304499,2.0,12.0,33.0,5400
anthropic,Anthropic,15.3701171875,13.569292854825452,2.0,12.0,33.0,2000
siloai,Silo.AI,15.0927734375,8.173424597547495,6.0,14.0,26.0,239
lvmh,LVMH,14.8388671875,12.721798355744987,2.0,11.0,31.0,7000
1374,Fujitsu,13.2265625,15.455311002486937,1.0,8.0,31.0,62000
xai,xAI,12.3515625,10.846921253682712,2.0,10.0,26.0,3000
bcg-x,BCG X,12.2001953125,10.973065388684834,2.0,9.0,27.0,2600
sutherland-global,Sutherland,12.1025390625,12.82058561174807,1.0,8.0,28.0,58000
the-coca-cola-company,The Coca-Cola Company,12.021484375,12.922830124304461,1.0,8.0,28.0,60000
cambridge-consultants,Cambridge Consultants,12.015625,7.282239069089602,4.0,11.0,22.0,794
jotun,Jotun,11.88671875,10.406337245082845,2.0,9.0,26.0,6000
15177291,Layer 6 AI,11.822265625,5.902499829897783,4.0,12.0,20.0,87
booz-allen-hamilton,Booz Allen Hamilton,11.3515625,13.673488744047503,1.0,7.0,28.0,41000
crocsinc,"Crocs, Inc.",11.1923828125,10.00620415871846,1.0,9.0,24.700000000000045,5500
quantco,QuantCo,10.7216796875,6.2335469931773115,3.0,10.0,19.0,237
coexya,Coexya,10.1796875,6.638469319228925,3.0,9.0,19.0,648
polestar-analytics,Polestar Analytics,10.1669921875,6.677595201254263,3.0,9.0,19.0,647
tryolabs,Tryolabs,10.1435546875,5.809970674555662,3.0,10.0,18.0,98
akvelon,Akvelon,10.130859375,6.336469409219507,3.0,9.0,18.0,688
mp-data-ds,MP DATA,10.0068359375,6.417364759576823,3.0,9.0,19.0,145
saitsrl,SAIT,9.9814453125,9.088252604933018,2.0,7.0,21.0,4800
the-ifish-group-inc-,IFG,9.947265625,8.528167503086074,2.0,8.0,21.0,4800
cas-concepts-and-solutions-ag,CAS,9.830078125,8.625364212970748,2.0,7.5,21.0,4600
166110,Science Systems and Applications,9.6669921875,6.3362366479886125,3.0,8.0,19.0,652
megvii%E6%97%B7%E8%A7%86,MEGVII,9.5751953125,5.808483992400945,3.0,9.0,18.0,428
sherwin-williams,Sherwin-Williams,9.4501953125,9.975529628450964,1.0,6.0,23.0,44000
liquid-ai-inc,Liquid AI,9.0556640625,4.954660364207218,3.0,8.0,16.0,79
the-north-face,The North Face,8.7685546875,8.028279330268832,1.0,6.0,19.0,4500
vinai-research,VinAI Research,8.763671875,4.522168549748448,3.0,9.0,15.0,33
harpercollins,HarperCollins Publishers,8.6865234375,8.080670780155765,1.0,7.0,19.0,4000
presight-ai,Presight,8.46484375,5.653291212920659,2.0,7.0,16.0,510
ai21,AI21 Labs,8.4443359375,5.14485740931136,2.0,8.0,16.0,250
abacusai,Abacus.AI,8.34765625,5.204624819027394,2.0,7.0,16.0,185
bairesdev,BairesDev,8.181640625,7.191725309920396,1.0,6.0,18.0,3100
1833,Euranova,8.041015625,5.253372925417142,2.0,7.0,15.0,159
upstageai,Upstage,7.626953125,4.738008722454269,2.0,7.0,14.0,187
saxonai,Saxon AI,7.4443359375,4.867665470956894,2.0,7.0,14.700000000000045,484
halfspace,Halfspace,7.4296875,4.4704910834654115,2.0,7.0,13.0,81
bespinglobal,Bespin Global,7.283203125,5.0007686024240545,2.0,6.0,14.0,605
208401,FPT Software,7.2568359375,11.978474025881114,0.0,5.0,17.0,26000
stratpoint,Stratpoint Technologies,7.185546875,4.9706900785683406,2.0,6.0,14.0,522
kainos,Kainos,7.06640625,6.4492826314219585,1.0,5.0,16.0,2900
ml6team,ML6,7.0634765625,4.5700786824203785,2.0,6.0,13.0,130
spatialedge,Spatialedge,7.0556640625,4.420944816964582,2.0,6.0,13.0,134
12,12,7.0478515625,4.147742146694549,2.0,7.0,12.700000000000045,0
navercloud,Naver Cloud,7.0341796875,6.860909118802144,1.0,5.0,15.0,1300
infocusp,InFocusp,7.0107421875,4.392251904536865,2.0,6.0,13.0,228
3157313,Tooploox,6.9248046875,4.786578929932946,2.0,6.0,13.0,163
futureweitechnologiesinc.,Futurewei Technologies,6.8603515625,4.482063894167932,2.0,6.0,13.0,327
5390194,deepsense.ai,6.75390625,4.388815727643499,2.0,6.0,13.0,108
patagonia_2,Patagonia,6.7509765625,6.481607016402312,1.0,5.0,15.0,3500
mi-6-ltd,MI-6,6.69140625,4.388426315031499,2.0,6.0,13.0,130
xomnia,Xomnia,6.447265625,3.7843675608605145,2.0,6.0,12.0,91
publicissapient,Publicis Sapient,6.3603515625,9.182291799376875,0.0,4.0,15.0,21000
daredata-engineering,DareData,6.310546875,3.8264659789978186,2.0,6.0,12.0,85
