id,organization_name,Category_ML_Org,Source,headquarters_location,linkedin_id,total_headcount,filter_broad_yes,filter_strict_no,filter_broad_yes_strict_no,filter_non_english_keywords_CV,claude_total_employees,claude_total_rejected,claude_total_accepted,gpt5_total_employees,gpt5_total_rejected,gpt5_total_accepted,gemini_total_employees,gemini_total_rejected,gemini_total_accepted,LLM_count_within_3x_filter,max_headcount,max_population,max_percentage,talent_dense,stage_reached,category,Headquarters Location,Total Headcount,Organization Name,Stage Reached,Founded Date,country,subregion,ml_share,ml_share_lower80,ml_share_upper80,mean,q10,q50,q90,synthetic_mean,synthetic_q10,synthetic_q50,synthetic_q90,adjusted_synthetic_mean,adjusted_synthetic_q10,adjusted_synthetic_q50,adjusted_synthetic_q90,synthetic_adjustment_factor
1,NVIDIA,Established_ML_Org,Manual Selection,United States,nvidia,43000,3500.0,2500.0,974.0,27000,,,,,,,,,,False,True,True,True,False,,,United States,43000,NVIDIA,,1993,Unknown,Unknown,0.0,0.0,0.0,,,,,36.4189453125,2.0,19.0,76.0,29.136794529141362,1.6000899685110213,15.2008547008547,60.8034188034188,1.2499297160528535
2,Meta,Established_ML_Org,Manual Selection,United States,meta,70000,8800.0,4200.0,2100.0,39000,,,,,,,,,,False,True,True,True,False,,,United States,70000,Meta,,2004,Unknown,Unknown,0.0,0.0,0.0,,,,,63.6533203125,4.0,34.0,132.0,50.92551964722503,3.2001799370220425,27.201529464687358,105.6059379217274,1.2499297160528535
3,Microsoft,Established_ML_Org,Manual Selection,United States,microsoftresearch,22000,8200.0,4500.0,1200.0,80000,,,,,,,,,,False,True,True,True,False,,,United States,22000,Microsoft,,1975,Unknown,Unknown,0.0,0.0,0.0,,,,,88.3037109375,4.0,33.0,154.70000000000005,70.64694102669534,3.2001799370220425,26.40148448043185,123.76695906432752,1.2499297160528535
4,Amazon,Established_ML_Org,Manual Selection,United States,amazonscience,540000,11000.0,6700.0,1600.0,140000,,,,,,,,,,False,True,True,True,False,,,United States,540000,Amazon,,1994,Unknown,Unknown,0.0,0.0,0.0,,,,,178.8955078125,16.0,112.0,385.4000000000001,143.12445373123313,12.80071974808817,89.60503823661719,308.33733693207387,1.2499297160528535
5,OpenAI ,Established_ML_Org,Manual Selection,United States,openai,6500,671.0,391.0,175.0,3200,3744,3347,397.0,3743,3289,454.0,3699,2854,845.0,True,True,True,True,False,,,United States,6500,OpenAI ,,2015,Unknown,Unknown,0.0,0.0,0.0,111.1923828125,61.0,96.0,173.0,42.1181640625,7.0,32.0,87.0,33.69642590425382,5.600314889788574,25.60143949617634,69.60391363022941,1.2499297160528535
6,Google DeepMind,Established_ML_Org,Manual Selection,United Kingdom,googledeepmind,6500,1900.0,1100.0,801.0,3500,4310,3025,1285.0,4309,2979,1330.0,4262,2459,1803.0,True,True,True,True,False,,,United Kingdom,6500,Google DeepMind,,2010,Unknown,Unknown,0.0,0.0,0.0,272.693359375,166.0,237.0,414.70000000000005,85.7685546875,17.0,67.0,173.0,68.61870198457883,13.600764732343679,53.60301394511921,138.40778227620333,1.2499297160528535
7,Anthropic,Established_ML_Org,Manual Selection,United States,anthropic,2000,276.0,140.0,76.0,1200,,,,,,,,,,False,True,True,True,False,,,United States,2000,Anthropic,,2021,Unknown,Unknown,0.0,0.0,0.0,,,,,15.3701171875,2.0,12.0,33.0,12.29678516327879,1.6000899685110213,9.600539811066128,26.40148448043185,1.2499297160528535
8,xAI,Established_ML_Org,Manual Selection,United States,xai,3000,177.0,83.0,42.0,725,1110,1041,69.0,1111,1027,84.0,1096,873,223.0,True,True,True,True,False,,,United States,3000,xAI,,2023,Unknown,Unknown,0.0,0.0,0.0,35.76953125,17.0,31.0,59.0,12.3515625,2.0,10.0,26.0,9.881805625843455,1.6000899685110213,8.000449842555106,20.801169590643276,1.2499297160528535
9,AI2,Established_ML_Org,Manual Selection,United States,allen-ai,313,103.0,52.0,40.0,179,255,183,72.0,255,175,80.0,252,146,106.0,True,True,True,True,False,,,United States,313,AI2,,2014,Unknown,Unknown,0.0,0.0,0.0,26.3798828125,9.0,24.0,48.0,16.263671875,6.0,15.0,28.0,13.011669109171166,4.800269905533064,12.00067476383266,22.401259559154298,1.2499297160528535
10,Mila-Quebec Artificial Intelligence Institute,Established_ML_Org,Manual Selection,Canada,,872,424.0,163.0,130.0,682,,,,,,,,,,False,True,True,True,False,,,Canada,872,Mila-Quebec Artificial Intelligence Institute,,1993,Unknown,Unknown,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2499297160528535
