id,organization_name,Claude Rating,Combined,MAX Human rating Fit yes / no,RED Human rating Fit yes / no,Comments,Description,Full Description,Organization Category,Source,Organization Name URL,Stage,Industries,headquarters_location,CB Rank (Company),Headquarters Regions,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,linkedin_id,ID_copy,Facebook,Twitter,Website,Phone Number,Contact Email,IT Spend,IT Spend Currency,IT Spend (in USD),Trademarks Registered,Patents Granted,Average Visits (6 months),Monthly Visits,Similar Companies,IPO Status,IPO Date,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Acquisition Type,Number of Acquisitions,Acquisition Status,Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Funding Rounds,Funding Status,Number of Employees,Number of Founders,Founders,Industry Groups,Operating Status,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Exits (IPO),Number of Exits,Number of Diversity Investments,Number of Lead Investments,filter_broad_yes,filter_strict_no,filter_broad_yes_strict_no,filter_non_english_keywords_CV,total_headcount,claude_total_employees,claude_total_rejected,claude_total_accepted,gpt5_total_employees,gpt5_total_rejected,gpt5_total_accepted,gemini_total_employees,gemini_total_rejected,gemini_total_accepted,stage_reached,category,max_headcount,max_population,Headquarters Location,Total Headcount,Organization Name,Stage Reached,Founded Date,country,subregion,ml_share,ml_share_lower80,ml_share_upper80,mean,q10,q50,q90
14,Tata Consultancy Services,3.5 (Other.Strong fit),1,,1,,Tata Consultancy Services is a business solutions company that specializes on information technology services and consulting.,"Tata Consultancy Services Limited is an IT services, business solutions and outsourcing organization that delivers real results to global businesses, ensuring a level of certainty no other firm can match. TCS offers a consulting-led, integrated portfolio of IT and IT-enabled services – comprising Application Development & Maintenance, Business Intelligence, Enterprise Solutions, Assurance Services, Engineering & Industrial Services, Infrastructure Services, Consulting, Asset Leveraged Solutions and Business Process Services – delivered through its unique Global Network Delivery Model™ (GNDM), recognized as the benchmark of excellence in software development. The company has domain expertise in a broad set of industries, comprising Banking & Financial Services, Insurance, Telecom, Manufacturing, Retail & Distribution, High Tech, Life Sciences, Healthcare, Transportation, Energy & Utilities, Media & Entertainment and others. Geographically, TCS operates in all five continents, with North America and Europe constituting the largest markets for our services. We derive over a fifth of our revenues from emerging markets such as India, Asia-Pacific, Latin America and Middle-East & Africa.",,Manual Search + Network,https://www.crunchbase.com/organization/tata-consultancy-services,,"Business Information Systems, Consulting, Information Technology, IT Management","Mumbai, Maharashtra, India",9461,Asia-Pacific (APAC),year,2004-08-25,day,,,For Profit,tata-consultancy-services,14,https://www.facebook.com/TataConsultancyServices,https://x.com/tcs,http://www.tcs.com,[⚠ Claude for Sheets™ RECALCULATING ⚠] =+91-22-6778 9595,global.marketing@tcs.com,,,,76,1682,3924374.83,2913489,14,Public,2004-08-25,,,,,,,,19,Made Acquisitions,,,,,IPO,10001,2,"Faquir Chand Kohli, Jehangir Tata","Information Technology, Professional Services",Active,,,3,3,,1,1,1,3200.0,5400.0,305.0,29000,640000,1,1,0.0,1,1,0.0,1,1,0.0,,,True,True,"Mumbai, Maharashtra, India",640000,Tata Consultancy Services,,1968-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,,,,
7,Accenture,"3.5 (Other.Strong fit)

Accenture is primarily a broad management consulting, technology services, and outsourcing company. While they likely offer some ML consulting services as part of their technology portfolio, this doesn't appear to be their primary focus based on the description. They are a general professional services company that works across many industries and functions, rather than being specialized in ML consulting or fundamental AI research.",1,,1,,"Accenture is a professional services company that provides solutions in strategy, consulting, digital, technology and operations.","Accenture is a management consulting, technology services, and outsourcing company, with approximately 204,000 people serving clients in more than 120 countries. Combining unparalleled experience, comprehensive capabilities across all industries and business functions, and extensive research on the successful companies. Accenture collaborates with clients to help them become high-performance businesses and governments.",,Manual Search + Network,https://www.crunchbase.com/organization/accenture,,"Business Information Systems, Construction, Consulting, Information Services, Information Technology, Infrastructure, Management Consulting, Outsourcing","Dublin, Dublin, Ireland",2916,"European Union (EU), Europe, Middle East, and Africa (EMEA)",year,2001-07-27,day,,,For Profit,accenture,7,https://www.facebook.com/accenture,https://x.com/accenture,https://www.accenture.com,[⚠ Claude for Sheets™ RECALCULATING ⚠] =+1 187-788-9900,,9654624584,USD,9654624584,494,3094,9553931.83,8182693,36,Public,2001-07-27,,,,,,,,339,Made Acquisitions,Youth Business International,1,1,1,IPO,10001,4,"Arthur E. Andersen, Clarence DeLany, Mike Redding, Steve Wick","Information Technology, Other, Professional Services, Real Estate",Active,,,55,61,1,27,13,18,3500.0,3400.0,186.0,110000,550000,3,3,0.0,3,3,0.0,3,3,0.0,,,True,True,"Dublin, Dublin, Ireland",550000,Accenture,,1989-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,,,,
18,Deloitte,"3.5 (Other.Strong fit)

Deloitte is clearly a traditional business consulting and professional services firm that provides various business services including audit, financial advisory, tax, and risk management. While they likely have some AI/ML offerings within their broader consulting services, they are not primarily an ML consultancy (category 1) nor a pure AI research organization (category 2). The company fits strongly in the ""Other"" category as a general business consulting firm.",1,,1,REPEAT,"Deloitte is a business consulting company that offers audit, consulting, financial advisory, and tax services.","Deloitte is a business consulting company that provides audit, consulting, financial advisory, risk management, tax, and related services to select clients. Their clients are in sectors, including consumer business, energy, financial services, life sciences, healthcare, manufacturing, technology, media, and telecommunications. They also provide advisory services on mergers, acquisitions, restructurings, and transactions.",,Manual Search + Network,https://www.crunchbase.com/organization/deloitte,,"Accounting, Consulting, Financial Services, Legal, Professional Services, Risk Management","London, England, United Kingdom",14972,"Europe, Middle East, and Africa (EMEA)",day,,,,,For Profit,deloitte,18,https://www.facebook.com/deloitte,https://x.com/Deloitte,https://www2.deloitte.com,[⚠ Claude for Sheets™ RECALCULATING ⚠] =+44 020-7936-3000,globalwebmaster@deloitte.com,3573880566,USD,3573880566,,,,,215,Private,,,,,,,,,68,Made Acquisitions,,,,,,10001,1,William Welch Deloitte,"Financial Services, Other, Professional Services",Active,,,10,11,,3,,4,3700.0,2200.0,171.0,140000,430000,1,1,0.0,1,1,0.0,1,1,0.0,,,True,True,"London, England, United Kingdom",430000,Deloitte,,1845-04-23,Unknown,Unknown,0.0,0.0,0.0,,,,
9,Cognizant,"3.4 (Other.Strong fit)

Cognizant appears to be a broad professional services company focused on digital transformation, business consulting, and technology services. While they likely offer some AI/ML solutions as part of their broader service portfolio, their primary business model is that of a general technology consulting and services firm rather than a specialized ML consultancy or pure AI research organization. Their Fortune 500 status and description as helping clients with ""business, operating and technology models"" indicates they provide comprehensive professional services across multiple domains, making them a strong fit for the ""Other"" category.",1,,1,,"Cognizant is a professional services company that helps clients alter their business, operating, and technology models for the digital era.","Cognizant (Nasdaq-100: CTSH) is a professional services companies, transforming clients' business, operating and technology models for the digital era. Our unique industry-based, consultative approach helps clients envision, build and run more innovative and efficient businesses. Headquartered in the U.S., Cognizant is ranked 195 on the Fortune 500 and is consistently listed among the most admired companies in the world. Learn how Cognizant helps clients lead with digital at www.cognizant.com or follow us @Cognizant",,Manual Search + Network,https://www.crunchbase.com/organization/cognizant-technology-solutions,,"Consulting, Industrial Automation, Information Technology, Software, Software Engineering","Teaneck, New Jersey, United States",5810,"Greater New York Area, East Coast, Northeastern US",day,1998-06-19,day,,,For Profit,cognizant,9,https://www.facebook.com/Cognizant,https://x.com/cognizant,https://www.cognizant.com,[⚠ Claude for Sheets™ RECALCULATING ⚠] =+1 201-801-0233,inquiry@cognizant.com,2889750000,USD,2889750000,123,180,3015745.83,2892071,10,Public,1998-06-19,,,,,,,,68,Made Acquisitions,Summit Financial Wealth Advisors,1,1,2,IPO,10001,2,"Francisco D'Souza, Kumar Mahadeva","Information Technology, Manufacturing, Professional Services, Science and Engineering, Software",Active,,,7,7,,1,,4,1600.0,1300.0,85.0,13000,300000,2,2,0.0,2,2,0.0,2,2,0.0,,,True,True,"Teaneck, New Jersey, United States",300000,Cognizant,,1994-01-26 00:00:00,Unknown,Unknown,0.0,0.0,0.0,27.103515625,2.0,18.0,65.0
665,IBM,1.4 (category.score),1,1,,BIG,"IBM is an IT technology and consulting firm providing computer hardware, software, infrastructure, and hosting services.","IBM is a technology and innovation company that offers a wide range of technology and consulting services; a broad portfolio of middleware for collaboration, predictive analytics, software development, and systems management. It offers services across AI, machine learning, cybersecurity, analytics, DevOps, and more, helping businesses innovate and automate processes.",,ML conferences affiliation data,https://www.crunchbase.com/organization/ibm,,"Business Development, Business Information Systems, CRM, Data Management, Software","Armonk, New York, United States",860,"Greater New York Area, East Coast, Northeastern US",day,1978-01-13,day,,,For Profit,ibm,665,https://www.facebook.com/IBM,https://x.com/IBM,http://www.ibm.com,#ERROR!,ews@us.ibm.com,,,,1371,54264,19979422.83,16608336,39,Public,1978-01-13,,,,,,,,227,Made Acquisitions,,,,,IPO,10001,1,Thomas J. Watson,"Data and Analytics, Information Technology, Professional Services, Sales and Marketing, Software",Active,,,67,74,4,17,5,22,3900.0,2300.0,443.0,76000,290000,,,,,,,,,,,,True,True,"Armonk, New York, United States",290000,IBM,,1911-06-06 00:00:00,Unknown,Unknown,0.0,0.0,0.0,,,,
16,Capgemini,"1.4 (ML Consultancy.Strong fit)

Capgemini clearly provides ML/AI services as part of their technology and digital transformation offerings, with specific mention of data science capabilities within their Consulting Services segment. They work across multiple industries implementing technology solutions. While they're a broad IT services company, their focus on implementing and developing AI/ML solutions for clients makes them primarily fit category 1 (ML Consultancy) with a strong (4) confidence score.",1,1,,,"Capgemini is a software company that provides consulting, technology, and digital transformation services.","Capgemini provides consulting, technology, and digital transformation services. Its Consulting Services segment offers strategy and transformation consulting services, including strategy, technology, data science, and creative design to support various companies and organizations in creating models, products, and services within the digital economy. Capgemini's Technology and Engineering Services segment provides assistance and support to internal IT and engineering teams within clients’ organizations in the cloud, cybersecurity, quality assurance, testing, and new technologies fields. Its Application Services segment devises, develops, implements, and maintains IT applications, such as system integration and application maintenance activities. Capgemini's Other Managed Services segment integrates, manages, and develops client IT Infrastructure systems, as well as transaction services, on-demand, and business process outsourcing services. It serves various industries, including consumer products, retail, and distribution; energy, utilities, and chemicals; financial services; manufacturing, automotive, and life sciences; public sector; services; and telecommunications, media, and entertainment. Capgemini has operations in North America, France, the United Kingdom, Ireland, the rest of Europe, the Asia-Pacific, and Latin America.",,Manual Search + Network,https://www.crunchbase.com/organization/cap-gemini,,"Consulting, Information Technology, InsurTech, IT Management, Software","Paris, Ile-de-France, France",11298,"European Union (EU), Europe, Middle East, and Africa (EMEA)",year,1999-04-01,day,,,For Profit,capgemini,16,http://www.facebook.com/capgemini/,https://x.com/Capgemini,https://www.capgemini.com,[⚠ Claude for Sheets™ RECALCULATING ⚠] =+33 1 47 54 50 00,info@capgemini.com,4121240763,USD,4121240763,25,0,3594601.17,3697804,27,Public,1999-04-01,,,,,,,,63,Made Acquisitions,,,,,IPO,10001,2,"Joe Moye, Serge Kampf","Financial Services, Information Technology, Professional Services, Software",Active,,,4,4,,,,1,1500.0,2100.0,103.0,56000,260000,,,,,,,,,,,,True,True,"Paris, Ile-de-France, France",260000,Capgemini,,1967-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,,,,
1556,Genpact,"3.4 (Other.Strong fit)

Genpact appears to be primarily a business process management and IT services company that incorporates AI as part of its broader technology offerings. While it does list AI as one of its services, it's not exclusively focused on ML consultancy (category 1) as it provides a wide range of other IT and business process services. It also doesn't conduct fundamental AI research like category 2 organizations. The strong fit with category 3 reflects its nature as a general IT services and business process company that uses AI as one of many tools in its portfolio.",1,,1,,"Genpact is an information technology firm that offers business management, artificial intelligence, automation, and cloud services.","Genpact is a business process management and IT services company that helps clients enhance operations through processes, analytics, and technology. The company serves industries like banking, insurance, retail, life sciences, and healthcare, offering services such as finance and accounting, analytics, IT management, supply chain, and procurement. Genpact operates across multiple sectors to drive business efficiency and intelligence.",,ML conferences affiliation data,https://www.crunchbase.com/organization/genpact,,"Analytics, Artificial Intelligence (AI), Business Process Automation (BPA), Consulting, Information Technology, Software","New York, New York, United States",5382,"Greater New York Area, East Coast, Northeastern US",year,2007-08-10,day,,,For Profit,genpact,1556,https://www.facebook.com/ProudToBeGenpact,https://x.com/Genpact,https://www.genpact.com,#ERROR!,corporate.communications@genpact.com,46424,USD,46424,0,2,765271.33,475072,9,Public,2007-08-10,,,,,,,,29,Made Acquisitions,General Atlantic,,1,2,IPO,10001,1,Pramod Bhasin,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Professional Services, Science and Engineering, Software",Active,,,1,1,,,,,582.0,384.0,28.0,12000,130000,,,,,,,,,,,,True,True,"New York, New York, United States",130000,Genpact,,1997-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,11.2705078125,0.0,7.0,28.0
357,WA,"3.5 (Other.Strong fit)

The description clearly states this is a ""Consulting company"" focused on ""Management Consulting"" and ""Marketing"" categories. There is no mention of machine learning, AI research, or any AI-related services, which rules out categories 1 and 2. This fits strongly in the ""Other"" category as it appears to be a traditional management and marketing consulting firm.",1,,1,,WA is a Consulting company,,,arxiv affiliation meta-data,https://www.crunchbase.com/organization/WA,,"Management Consulting, Marketing","Nagoya, Aichi, Japan",402259,Asia-Pacific (APAC),day,,,,,For Profit,357,357,https://ja-jp.facebook.com/wa.heros/,,https://wa-hd.co.jp,,,,,,,,,,6,Private,,,,,,,,,,,,,,,,,,,"Professional Services, Sales and Marketing",Active,,,,,,,,,97.0,31.0,5.0,15000,87000,,,,,,,,,,,,True,True,"Nagoya, Aichi, Japan",87000,WA,,2009-12-08 00:00:00,Unknown,Unknown,0.0,0.0,0.0,,,,
1983,Fusion,"3.5 (Other.Strong fit)

This company primarily provides Business Process Management and customer experience management solutions. While they mention using ""AI & ML-enabled digital solutions,"" they are using these technologies to power their own operations rather than providing ML consultancy services to others. Their core business is customer service outsourcing and business process management, which doesn't align with categories 1 or 2, making category 3 (Other) the appropriate classification with a strong confidence score.",1,,1,,Fusion is rapidly growing provider of Business Process Management & global customer experience management solutions.,"Fusion is rapidly growing provider of Business Process Management & global customer experience management solutions. We offer omnichannel consumer engagements in 40+ global and regional languages to more than 250 clients worldwide. With a global workforce that includes 14,000+ professionals from diversified educational & ethnic backgrounds, we have been augmenting, strengthening, and accelerating client success continually through exceptional customer service. Our operations are powered by cutting-edge AI & ML-enabled digital solutions to optimize efficiency, performance, and overall workspace experience. This has empowered us to infuse our customizable services with technological innovation to ensure meaningful customer interactions and superior CX deliveries. At Fusion, we strive to create human connections in every interaction, allowing us to keep customer concerns in focus and attend to their needs with mutual understanding and empowering a culture of collaboration. Our ideas & efforts are concentrated on creating a future of excellence in customer satisfaction & business growth. This way, we are ushering in the next era of services that improve & exceed the expectations of clients & customers alike. At Fusion, we aim to pioneer change in the shared services industry and pave the way for Growth-Oriented Business Associations and Customer-Centric Technological Innovations.",,crunchbase search,https://www.crunchbase.com/organization/fusion-bpo-services,,"Information Services, Information Technology, Outsourcing","Canton, Ohio, United States",348888,"Great Lakes, Midwestern US",day,,,,,For Profit,fusion-bpo-services,1983,https://www.facebook.com/FusionBPO,https://twitter.com/Fusionbpo,https://www.fusionbposervices.com,1-866-581-0038,contact@fusionbposervices.com,,,,,,,,8,Private,,,,,,,,,3,Made Acquisitions,,,,,,10001,2,"Kishore Saraogi, Pankaj Dhanuka","Information Technology, Professional Services",Active,,,,,,,,,312.0,178.0,48.0,13000,85000,,,,,,,,,,,,True,True,"Canton, Ohio, United States",85000,Fusion,,2004-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,,,,
741,Fujitsu,3.5 (Other.Strong fit),1,,1,,Fujitsu is a information & communications technology equipment and services firm providing IT & IT infrastructure and other services.,"Fujitsu is an information and communication technology (ICT) company, offering a full range of technology products, solutions, and services.",,ML conferences affiliation data,https://www.crunchbase.com/organization/fujitsu,,"Cloud Computing, Cloud Infrastructure, Cyber Security, Enterprise Software, Information and Communications Technology (ICT), Information Technology, IT Infrastructure, Software","Tokyo, Tokyo, Japan",3625,Asia-Pacific (APAC),day,1949-05-16,day,,,For Profit,1374,741,http://www.facebook.com/fujitsuICT,http://twitter.com/Fujitsu_Global,http://www.fujitsu.com,-1851,info@au.fujitsu.com,,,,448,18624,2762297.67,2104093,80,Public,1949-05-16,,,,,,,,23,Made Acquisitions,,,,,IPO,10001,3,"Alain Roy, Pierre Ducros, Serge Meilleur","Hardware, Information Technology, Internet Services, Privacy and Security, Software",Active,,,18,22,3,5,,3,161.0,166.0,21.0,12000,62000,,,,,,,,,,,,True,True,"Tokyo, Tokyo, Japan",62000,Fujitsu,,1935-06-20 00:00:00,Unknown,Unknown,0.0,0.0,0.0,,,,
