company_id,filter_broad_yes,filter_strict_no,filter_broad_yes_strict_no,gemini_total_accepted,gpt5_total_accepted,claude_total_accepted,company_name,Total Headcount,max_headcount,max_population,Stage Reached,category,Organization Name
tata-consultancy-services,3200.0,5400.0,305.0,,,,Tata Consultancy Services,640000,True,True,,,Tata Consultancy Services
accenture,3500.0,3400.0,186.0,,,,Accenture,550000,True,True,,,Accenture
deloitte,3700.0,2200.0,171.0,,,,Deloitte,430000,True,True,,,Deloitte
cognizant,1600.0,1300.0,85.0,,,,Cognizant,300000,True,True,,,Cognizant
ibm,3900.0,2300.0,443.0,,,,IBM,290000,True,True,,,IBM
capgemini,1500.0,2100.0,103.0,,,,Capgemini,260000,True,True,,,Capgemini
genpact,582.0,384.0,28.0,,,,Genpact,130000,True,True,,,Genpact
357,97.0,31.0,5.0,,,,WA,87000,True,True,,,WA
fusion-bpo-services,312.0,178.0,48.0,,,,Fusion,85000,True,True,,,Fusion
1374,161.0,166.0,21.0,,,,Fujitsu,62000,True,True,,,Fujitsu
sutherland-global,90.0,47.0,9.0,,,,Sutherland,58000,True,True,,,Sutherland
physicsh2020,0.0,0.0,0.0,,,,Physics,47000,True,False,,,Physics
supply-solutions---procurement-consulting-services,0.0,0.0,0.0,,,,Supply Solutions,47000,True,False,,,Supply Solutions
booz-allen-hamilton,715.0,202.0,46.0,281.0,93.0,25.0,Booz Allen Hamilton,41000,True,True,,,Booz Allen Hamilton
and-technology-research-ltd.,0.0,0.0,0.0,,,,AND Technology Research,38000,True,False,,,AND Technology Research
208401,92.0,199.0,9.0,,,,FPT Software,26000,True,True,,,FPT Software
publicissapient,356.0,151.0,20.0,150.0,31.0,2.0,Publicis Sapient,21000,True,True,,,Publicis Sapient
avanade,200.0,174.0,11.0,106.0,22.0,2.0,Avanade,17000,True,True,,,Avanade
swisscom,87.0,70.0,9.0,66.0,34.0,6.0,Swisscom,15000,True,True,,,Swisscom
nec,54.0,74.0,22.0,102.0,43.0,24.0,NEC Corporation,11000,True,True,,,NEC Corporation
yandex,232.0,521.0,67.0,528.0,291.0,142.0,Yandex,9900,True,True,,,Yandex
ipe-maintenance-et-solutions-informatique,10.0,10.0,0.0,,,,ipe,9400,True,True,,,ipe
encorainc,83.0,57.0,5.0,,,,Encora,7200,True,True,,,Encora
scaleai,594.0,221.0,68.0,326.0,179.0,82.0,Scale AI,5800,True,True,,,Scale AI
lgcns,40.0,63.0,11.0,98.0,41.0,13.0,LG CNS,5400,True,True,,,LG CNS
pwc,0.0,0.0,0.0,,,,PricewaterhouseCoopers,5100,True,False,,,PricewaterhouseCoopers
the-ifish-group-inc-,13.0,6.0,0.0,,,,IFG,4800,True,True,,,IFG
saitsrl,37.0,3.0,0.0,,,,SAIT,4800,True,True,,,SAIT
cas-concepts-and-solutions-ag,30.0,9.0,2.0,,,,CAS,4600,True,True,,,CAS
quantiphi,279.0,195.0,23.0,188.0,92.0,17.0,Quantiphi,3800,True,True,,,Quantiphi
bairesdev,60.0,20.0,0.0,28.0,12.0,2.0,BairesDev,3100,True,True,,,BairesDev
kainos,26.0,16.0,0.0,5.0,3.0,,Kainos,2900,True,True,,,Kainos
bcg-x,219.0,69.0,15.0,103.0,45.0,12.0,BCG X,2600,True,True,,,BCG X
tech-valley-tvy,0.0,0.0,0.0,,,,Tech Valley,2300,True,False,,,Tech Valley
eleks,5.0,12.0,1.0,3.0,,,ELEKS,1900,True,True,,,ELEKS
65,16.0,24.0,1.0,,,,twoday,1900,True,True,,,twoday
10921,6.0,7.0,0.0,,,,Itransition,1500,True,True,,,Itransition
galaxe-solutions,4.0,9.0,0.0,,,,GalaxE.Solutions,1300,True,True,,,GalaxE.Solutions
navercloud,44.0,57.0,18.0,135.0,107.0,78.0,Naver Cloud,1300,True,True,,,Naver Cloud
unique-micro-design-pty-ltd,11.0,6.0,3.0,,,,UMD,1300,True,True,,,UMD
g-research,69.0,43.0,19.0,49.0,23.0,16.0,G-Research,1100,True,True,,,G-Research
coherent-solutions,6.0,7.0,1.0,4.0,2.0,,Coherent Solutions,1100,True,True,,,Coherent Solutions
515,0.0,0.0,0.0,,,,Lucent Technologies,1000,True,False,,,Lucent Technologies
facultyai,83.0,39.0,15.0,48.0,41.0,7.0,Faculty,939,True,True,,,Faculty
cohere-ai,187.0,75.0,45.0,136.0,112.0,85.0,Cohere,831,True,True,,,Cohere
cambridge-consultants,26.0,14.0,3.0,27.0,11.0,3.0,Cambridge Consultants,794,True,True,,,Cambridge Consultants
cerebras-systems,142.0,71.0,22.0,142.0,76.0,69.0,Cerebras Systems,726,True,True,,,Cerebras Systems
akvelon,13.0,10.0,0.0,5.0,2.0,1.0,Akvelon,688,True,True,,,Akvelon
166110,39.0,10.0,7.0,,,,Science Systems and Applications,652,True,True,,,Science Systems and Applications
coexya,3.0,15.0,1.0,7.0,3.0,1.0,Coexya,648,True,True,,,Coexya
polestar-analytics,13.0,13.0,2.0,2.0,1.0,,Polestar Analytics,647,True,True,,,Polestar Analytics
bespinglobal,1.0,4.0,1.0,,,,Bespin Global,605,True,False,,,Bespin Global
omdena,214.0,46.0,65.0,32.0,13.0,2.0,Omdena,556,True,True,,,Omdena
quantumblack,107.0,33.0,10.0,52.0,27.0,4.0,QuantumBlack,523,True,True,,,QuantumBlack
stratpoint,5.0,6.0,1.0,4.0,1.0,,Stratpoint Technologies,522,True,True,,,Stratpoint Technologies
presight-ai,27.0,10.0,2.0,25.0,13.0,3.0,Presight,510,True,True,,,Presight
datascience.co.il,116.0,49.0,22.0,,,,Data Science Group,490,True,True,,,Data Science Group
saxonai,5.0,8.0,0.0,3.0,1.0,,Saxon AI,484,True,True,,,Saxon AI
sambanova,68.0,42.0,11.0,63.0,21.0,15.0,SambaNova Systems,474,True,True,,,SambaNova Systems
mistralai,76.0,51.0,31.0,93.0,62.0,59.0,Mistral AI,442,True,True,,,Mistral AI
megvii%E6%97%B7%E8%A7%86,12.0,21.0,7.0,107.0,65.0,34.0,MEGVII,428,True,True,,,MEGVII
technology-control-co-,5.0,1.0,0.0,6.0,2.0,1.0,Technology Control Corporation,418,True,True,,,Technology Control Corporation
46119?trk=tyah&trkInfo=tas%3Acharter%20g%2Cidx%3A1-1-1,3.0,0.0,0.0,,,,Charter Global,395,True,False,,,Charter Global
estsoft-corp,0.0,0.0,0.0,10.0,8.0,2.0,ESTsoft,388,True,True,,,ESTsoft
vrizeinc,2.0,4.0,1.0,1.0,,,VRIZE,373,True,False,,,VRIZE
closer,14.0,8.0,2.0,7.0,1.0,,Closer Consulting,361,True,True,,,Closer Consulting
redmane-technology,6.0,5.0,0.0,1.0,1.0,,RedMane Technology LLC,351,True,True,,,RedMane Technology LLC
edvantis,1.0,2.0,0.0,1.0,,,Edvantis,343,True,False,,,Edvantis
activefence,9.0,10.0,2.0,7.0,3.0,2.0,ActiveFence,334,True,True,,,ActiveFence
futureweitechnologiesinc.,46.0,11.0,9.0,,,,Futurewei Technologies,327,True,True,,,Futurewei Technologies
techahead,6.0,2.0,0.0,1.0,,,TechAhead,310,True,True,,,TechAhead
preferred-networks,49.0,72.0,24.0,106.0,72.0,45.0,Preferred Networks,303,True,True,,,Preferred Networks
cloud-temple,1.0,5.0,1.0,2.0,1.0,,Cloud Temple,302,True,True,,,Cloud Temple
kamtech-associates-pvt-ltd,2.0,0.0,0.0,,,,KAMTECH,296,True,False,,,KAMTECH
beyond-ai,18.0,3.0,1.0,16.0,9.0,,Beyond Limits,295,True,True,,,Beyond Limits
kyanon,2.0,5.0,1.0,4.0,1.0,,Kyanon Digital,294,True,True,,,Kyanon Digital
lighton,6.0,5.0,0.0,13.0,8.0,5.0,LightOn,287,True,True,,,LightOn
software-systems-llc,0.0,0.0,0.0,,,,Software Systems,264,True,False,,,Software Systems
q_agency,2.0,0.0,0.0,2.0,1.0,,Q agency,261,True,False,,,Q agency
siloai,85.0,44.0,19.0,,,,Silo.AI,239,True,True,,,Silo.AI
quantco,58.0,30.0,14.0,58.0,37.0,23.0,QuantCo,237,True,True,,,QuantCo
infocusp,38.0,17.0,8.0,30.0,17.0,2.0,InFocusp,228,True,True,,,InFocusp
