id,organization_name,Category_ML_Org,Source,headquarters_location,linkedin_id,total_headcount,filter_broad_yes,filter_strict_no,filter_broad_yes_strict_no,filter_non_english_keywords_CV,claude_total_employees,claude_total_rejected,claude_total_accepted,gpt5_total_employees,gpt5_total_rejected,gpt5_total_accepted,gemini_total_employees,gemini_total_rejected,gemini_total_accepted,LLM_count_within_3x_filter,max_headcount,max_population,max_percentage,talent_dense,stage_reached,category,Headquarters Location,Total Headcount,Organization Name,Stage Reached,Founded Date,country,subregion,ml_share,ml_share_lower80,ml_share_upper80,company_id,company_name
1,NVIDIA,Established_ML_Org,Manual Selection,United States,nvidia,43000,3500.0,2500.0,974.0,27000,,,,,,,,,,False,True,True,True,False,,,United States,43000,NVIDIA,,1993,Unknown,Unknown,0.0,0.0,0.0,nvidia,NVIDIA
2,Meta,Established_ML_Org,Manual Selection,United States,meta,70000,8800.0,4200.0,2100.0,39000,,,,,,,,,,False,True,True,True,False,,,United States,70000,Meta,,2004,Unknown,Unknown,0.0,0.0,0.0,meta,Meta
3,Microsoft,Established_ML_Org,Manual Selection,United States,microsoftresearch,22000,8200.0,4500.0,1200.0,80000,,,,,,,,,,False,True,True,True,False,,,United States,22000,Microsoft,,1975,Unknown,Unknown,0.0,0.0,0.0,microsoftresearch,Microsoft
4,Amazon,Established_ML_Org,Manual Selection,United States,amazonscience,540000,11000.0,6700.0,1600.0,140000,,,,,,,,,,False,True,True,True,False,,,United States,540000,Amazon,,1994,Unknown,Unknown,0.0,0.0,0.0,amazonscience,Amazon
5,OpenAI ,Established_ML_Org,Manual Selection,United States,openai,6500,671.0,391.0,175.0,3200,3744,3347,397.0,3743,3289,454.0,3699,2854,845.0,True,True,True,True,False,,,United States,6500,OpenAI ,,2015,Unknown,Unknown,0.0,0.0,0.0,openai,OpenAI 
6,Google DeepMind,Established_ML_Org,Manual Selection,United Kingdom,googledeepmind,6500,1900.0,1100.0,801.0,3500,4310,3025,1285.0,4309,2979,1330.0,4262,2459,1803.0,True,True,True,True,False,,,United Kingdom,6500,Google DeepMind,,2010,Unknown,Unknown,0.0,0.0,0.0,googledeepmind,Google DeepMind
7,Anthropic,Established_ML_Org,Manual Selection,United States,anthropic,2000,276.0,140.0,76.0,1200,,,,,,,,,,False,True,True,True,False,,,United States,2000,Anthropic,,2021,Unknown,Unknown,0.0,0.0,0.0,anthropic,Anthropic
8,xAI,Established_ML_Org,Manual Selection,United States,xai,3000,177.0,83.0,42.0,725,1110,1041,69.0,1111,1027,84.0,1096,873,223.0,True,True,True,True,False,,,United States,3000,xAI,,2023,Unknown,Unknown,0.0,0.0,0.0,xai,xAI
9,AI2,Established_ML_Org,Manual Selection,United States,allen-ai,313,103.0,52.0,40.0,179,255,183,72.0,255,175,80.0,252,146,106.0,True,True,True,True,False,,,United States,313,AI2,,2014,Unknown,Unknown,0.0,0.0,0.0,allen-ai,AI2
10,Mila-Quebec Artificial Intelligence Institute,Established_ML_Org,Manual Selection,Canada,,872,424.0,163.0,130.0,682,,,,,,,,,,False,True,True,True,False,,,Canada,872,Mila-Quebec Artificial Intelligence Institute,,1993,Unknown,Unknown,0.0,0.0,0.0,,Mila-Quebec Artificial Intelligence Institute
11,LawZero,Established_ML_Org,Manual Selection,Canada,lawzero,11,4.0,2.0,1.0,7,8,4,4.0,8,3,5.0,8,3,5.0,True,True,True,True,False,,,Canada,11,LawZero,,2025,Unknown,Unknown,0.0,0.0,0.0,lawzero,LawZero
12,Thinking Machines Lab,Established_ML_Org,Manual Selection,United States,,67,22.0,15.0,12.0,40,,,,,,,,,,False,True,True,True,False,,,United States,67,Thinking Machines Lab,,2025,Unknown,Unknown,0.0,0.0,0.0,,Thinking Machines Lab
13,Hugging Face,Established_ML_Org,Manual Selection,United States,huggingface,603,91.0,48.0,14.0,217,329,262,67.0,329,251,78.0,324,210,114.0,True,True,True,True,False,,,United States,603,Hugging Face,,2016,Unknown,Unknown,0.0,0.0,0.0,huggingface,Hugging Face
14,Midjourney,Established_ML_Org,Manual Selection,United States,midjourney,171,16.0,15.0,7.0,79,88,77,11.0,88,75,13.0,88,68,20.0,True,True,True,True,False,,,United States,171,Midjourney,,2021,Unknown,Unknown,0.0,0.0,0.0,midjourney,Midjourney
15,Cohere,Established_ML_Org,Manual Selection,Canada,cohere-ai,810,183.0,73.0,42.0,494,,,,,,,,,,False,True,True,True,False,,,Canada,810,Cohere,,2019,Unknown,Unknown,0.0,0.0,0.0,cohere-ai,Cohere
16,Perplexity AI,Established_ML_Org,Manual Selection,United States,perplexity-ai,1000,135.0,25.0,7.0,532,569,555,14.0,569,551,18.0,564,500,64.0,True,True,True,True,False,,,United States,1000,Perplexity AI,,2022,Unknown,Unknown,0.0,0.0,0.0,perplexity-ai,Perplexity AI
17,Mistral AI,Established_ML_Org,Manual Selection,France,mistralai,440,80.0,52.0,32.0,305,293,232,61.0,292,219,73.0,290,190,100.0,True,True,True,True,False,,,France,440,Mistral AI,,2023,Unknown,Unknown,0.0,0.0,0.0,mistralai,Mistral AI
18,Character.AI,Established_ML_Org,Manual Selection,United States,character-ai,207,20.0,9.0,3.0,68,132,123,9.0,132,122,10.0,132,107,25.0,True,True,True,True,False,,,United States,207,Character.AI,,2021,Unknown,Unknown,0.0,0.0,0.0,character-ai,Character.AI
19,AI21 Labs,Established_ML_Org,Manual Selection,Israel,ai21,250,17.0,24.0,8.0,34,221,204,17.0,221,198,23.0,218,180,38.0,True,True,True,True,False,,,Israel,250,AI21 Labs,,2017,Unknown,Unknown,0.0,0.0,0.0,ai21,AI21 Labs
20,Baidu Research (Baidu USA),Established_ML_Org,Manual Selection,China,baidu-usa,238,14.0,7.0,3.0,73,162,156,6.0,162,150,12.0,156,130,26.0,True,True,True,True,False,,,China,238,Baidu Research (Baidu USA),,2000,Unknown,Unknown,0.0,0.0,0.0,baidu-usa,Baidu Research (Baidu USA)
