id,organization_name,Category_ML_Org,Source,headquarters_location,linkedin_id,total_headcount,filter_broad_yes,filter_strict_no,filter_broad_yes_strict_no,filter_non_english_keywords_CV,claude_total_employees,claude_total_rejected,claude_total_accepted,gpt5_total_employees,gpt5_total_rejected,gpt5_total_accepted,gemini_total_employees,gemini_total_rejected,gemini_total_accepted,LLM_count_within_3x_filter,max_headcount,max_population,max_percentage,talent_dense,stage_reached,category,Headquarters Location,Total Headcount,Organization Name,Stage Reached,Founded Date,country,subregion,ml_share,ml_share_lower80,ml_share_upper80,company_id,company_name
1,Patagonia,Non_ML_Org,Manual Selection,United States,patagonia_2,3500,0.0,1.0,0.0,816,2544,2544,,2542,2542,,2515,2515,,True,True,False,False,True,,,United States,3500,Patagonia,,1973,Unknown,Unknown,0.0,0.0,0.0,patagonia_2,Patagonia
2,The North Face,Non_ML_Org,Manual Selection,United States,the-north-face,4500,2.0,0.0,0.0,1100,3350,3350,,3351,3351,,3315,3315,,True,True,False,False,True,,,United States,4500,The North Face,,1966,Unknown,Unknown,0.0,0.0,0.0,the-north-face,The North Face
3,YETI,Non_ML_Org,Manual Selection,United States,yeti,2000,5.0,0.0,0.0,359,1145,1144,1.0,1144,1144,,1132,1131,1.0,True,True,True,False,True,,,United States,2000,YETI,,2006,Unknown,Unknown,0.0,0.0,0.0,yeti,YETI
4,Hydro Flask,Non_ML_Org,Manual Selection,United States,hydro-flask,135,0.0,1.0,0.0,18,93,93,,93,93,,92,92,,True,True,False,False,True,,,United States,135,Hydro Flask,,2009,Unknown,Unknown,0.0,0.0,0.0,hydro-flask,Hydro Flask
5,New York Philharmonic,Non_ML_Org,Manual Selection,United States,new-york-philharmonic,288,0.0,0.0,0.0,75,178,178,,178,178,,176,176,,True,True,False,False,True,,,United States,288,New York Philharmonic,,1842,Unknown,Unknown,0.0,0.0,0.0,new-york-philharmonic,New York Philharmonic
6,London Symphony Orchestra,Non_ML_Org,Manual Selection,United Kingdom,london-symphony-orchestra,232,0.0,0.0,0.0,90,110,110,,110,110,,110,110,,True,True,False,False,True,,,United Kingdom,232,London Symphony Orchestra,,1904,Unknown,Unknown,0.0,0.0,0.0,london-symphony-orchestra,London Symphony Orchestra
7,Museo Nacional del Prado,Non_ML_Org,Manual Selection,Spain,museo-nacional-del-prado,296,0.0,0.0,0.0,202,120,120,,120,120,,117,117,,True,True,False,False,True,,,Spain,296,Museo Nacional del Prado,,1819,Unknown,Unknown,0.0,0.0,0.0,museo-nacional-del-prado,Museo Nacional del Prado
8,The British Museum,Non_ML_Org,Manual Selection,United Kingdom,the-british-museum,1000,0.0,1.0,0.0,573,910,910,,910,910,,903,903,,True,True,False,False,True,,,United Kingdom,1000,The British Museum,,1753,Unknown,Unknown,0.0,0.0,0.0,the-british-museum,The British Museum
9,"Crocs, Inc.",Non_ML_Org,Manual Selection,United States,crocsinc,5500,3.0,1.0,0.0,962,3650,3650,,3652,3652,,3608,3608,,True,True,False,False,True,,,United States,5500,"Crocs, Inc.",,2002,Unknown,Unknown,0.0,0.0,0.0,crocsinc,"Crocs, Inc."
10,LVMH,Non_ML_Org,Manual Selection,France,lvmh,7000,17.0,2.0,0.0,2900,4357,4356,1.0,4353,4348,5.0,4304,4292,12.0,True,True,True,False,True,,,France,7000,LVMH,,1987,Unknown,Unknown,0.0,0.0,0.0,lvmh,LVMH
11,HarperCollins Publishers,Non_ML_Org,Manual Selection,United States,harpercollins,4000,7.0,8.0,0.0,1300,2640,2640,,2641,2641,,2605,2604,1.0,True,True,True,False,True,,,United States,4000,HarperCollins Publishers,,1817,Unknown,Unknown,0.0,0.0,0.0,harpercollins,HarperCollins Publishers
12,Penguin Random House,Non_ML_Org,Manual Selection,United States,penguin-random-house-publishing,8000,18.0,9.0,1.0,2400,5232,5230,2.0,5233,5231,2.0,5170,5163,7.0,True,True,True,False,True,,,United States,8000,Penguin Random House,,2013,Unknown,Unknown,0.0,0.0,0.0,penguin-random-house-publishing,Penguin Random House
13,Sierra Nevada Brewing Co.,Non_ML_Org,Manual Selection,United States,sierra-nevada-brewing-co-,769,0.0,0.0,0.0,247,627,627,,627,627,,624,624,,True,True,False,False,True,,,United States,769,Sierra Nevada Brewing Co.,,1979,Unknown,Unknown,0.0,0.0,0.0,sierra-nevada-brewing-co-,Sierra Nevada Brewing Co.
14,The Coca-Cola Company,Non_ML_Org,Manual Selection,United States,the-coca-cola-company,60000,68.0,31.0,2.0,9500,31026,31023,3.0,31014,31005,9.0,30616,30586,30.0,True,True,True,False,True,,,United States,60000,The Coca-Cola Company,,1886,Unknown,Unknown,0.0,0.0,0.0,the-coca-cola-company,The Coca-Cola Company
15,Jotun,Non_ML_Org,Manual Selection,Norway,jotun,6000,5.0,1.0,0.0,912,3871,3871,,3868,3868,,3825,3823,2.0,True,True,True,False,True,,,Norway,6000,Jotun,,1926,Unknown,Unknown,0.0,0.0,0.0,jotun,Jotun
