company_id,filter_broad_yes,filter_strict_no,filter_broad_yes_strict_no,gemini_total_accepted,gpt5_total_accepted,claude_total_accepted,company_name,Total Headcount,max_headcount,max_population,Stage Reached,category,Organization Name,ml_consensus_round,ml_lower80_round,ml_upper80_round,uncertainty_factor_x,k_methods,outlier_flag_gt3x,ml_share,ml_share_lower80,ml_share_upper80,debiased__filter_broad_yes,debiased__filter_strict_no,debiased__filter_broad_yes_strict_no,debiased__claude_total_accepted,debiased__gpt5_total_accepted,debiased__gemini_total_accepted,filter_broad_yes__zero_replaced,filter_strict_no__zero_replaced,filter_broad_yes_strict_no__zero_replaced,claude_total_accepted__zero_replaced,gpt5_total_accepted__zero_replaced,gemini_total_accepted__zero_replaced,filter_broad_yes__num,filter_strict_no__num,filter_broad_yes_strict_no__num,claude_total_accepted__num,gpt5_total_accepted__num,gemini_total_accepted__num,filter_broad_yes__adj,filter_strict_no__adj,filter_broad_yes_strict_no__adj,claude_total_accepted__adj,gpt5_total_accepted__adj,gemini_total_accepted__adj
omdena,214.0,46.0,65.0,32.0,13.0,2.0,Omdena,556,True,True,,,Omdena,31,7,118,17.09920109008579,6,True,0.05575539568345324,0.012589928057553957,0.21223021582733814,213.99999999999994,46.0,64.99999999999999,3.659587522813943,13.0,20.23857702507763,False,False,False,False,False,False,214.0,46.0,65.0,2.0,13.0,32.0,214.0,46.0,65.0,2.0,13.0,32.0
quantumblack,107.0,33.0,10.0,52.0,27.0,4.0,QuantumBlack,523,True,True,,,QuantumBlack,30,9,59,6.945728317222502,6,True,0.05736137667304015,0.017208413001912046,0.11281070745697896,106.99999999999996,33.0,10.000000000000002,7.319175045627885,27.0,32.88768766575115,False,False,False,False,False,False,107.0,33.0,10.0,4.0,27.0,52.0,107.0,33.0,10.0,4.0,27.0,52.0
datascience.co.il,116.0,49.0,22.0,,,,Data Science Group,490,True,True,,,Data Science Group,49,26,98,3.7811877891234023,3,False,0.1,0.053061224489795916,0.2,115.99999999999999,48.99999999999999,22.000000000000004,,,,False,False,False,False,False,False,116.0,49.0,22.0,,,,116.0,49.0,22.0,,,
sambanova,68.0,42.0,11.0,63.0,21.0,15.0,SambaNova Systems,474,True,True,,,SambaNova Systems,33,15,53,3.516196291966132,6,True,0.06962025316455696,0.03164556962025317,0.11181434599156118,68.00000000000001,42.00000000000001,11.000000000000002,27.44690642110457,21.0,39.844698518121575,False,False,False,False,False,False,68.0,42.0,11.0,15.0,21.0,63.0,68.0,42.0,11.0,15.0,21.0,63.0
megvii%E6%97%B7%E8%A7%86,12.0,21.0,7.0,107.0,65.0,34.0,MEGVII,428,True,True,,,MEGVII,36,9,66,7.236422611061592,6,True,0.08411214953271028,0.02102803738317757,0.1542056074766355,12.0,21.0,6.999999999999999,62.21298788783704,64.99999999999999,67.67274192760333,False,False,False,False,False,False,12.0,21.0,7.0,34.0,65.0,107.0,12.0,21.0,7.0,34.0,65.0,107.0
siloai,85.0,44.0,19.0,,,,Silo.AI,239,True,True,,,Silo.AI,44,22,75,3.3153719579696492,3,False,0.18410041841004185,0.09205020920502092,0.3138075313807531,85.00000000000001,43.99999999999999,18.999999999999996,,,,False,False,False,False,False,False,85.0,44.0,19.0,,,,85.0,44.0,19.0,,,
quantco,58.0,30.0,14.0,58.0,37.0,23.0,QuantCo,237,True,True,,,QuantCo,37,20,49,2.410762020269435,6,False,0.15611814345991562,0.08438818565400844,0.20675105485232068,57.999999999999986,30.000000000000004,13.999999999999996,42.08525651236034,36.99999999999999,36.68242085795319,False,False,False,False,False,False,58.0,30.0,14.0,23.0,37.0,58.0,58.0,30.0,14.0,23.0,37.0,58.0
infocusp,38.0,17.0,8.0,30.0,17.0,2.0,InFocusp,228,True,True,,,InFocusp,17,5,27,4.962566744504266,6,True,0.07456140350877193,0.021929824561403508,0.11842105263157894,37.99999999999999,17.0,7.999999999999998,3.659587522813943,17.0,18.973665961010276,False,False,False,False,False,False,38.0,17.0,8.0,2.0,17.0,30.0,38.0,17.0,8.0,2.0,17.0,30.0
agency-enterprise-studio,35.0,4.0,3.0,17.0,11.0,7.0,AE Studio,205,True,True,,,AE Studio,11,3,21,6.112142774460716,6,True,0.05365853658536585,0.014634146341463415,0.1024390243902439,34.99999999999999,4.0,3.0000000000000004,12.808556329848802,11.000000000000002,10.75174404457249,False,False,False,False,False,False,35.0,4.0,3.0,7.0,11.0,17.0,35.0,4.0,3.0,7.0,11.0,17.0
upstageai,16.0,23.0,7.0,46.0,27.0,19.0,Upstage,187,True,True,,,Upstage,25,11,32,3.0051266097278106,6,True,0.13368983957219252,0.058823529411764705,0.1711229946524064,15.999999999999998,23.0,6.999999999999999,34.766081466732444,27.0,29.092954473549092,False,False,False,False,False,False,16.0,23.0,7.0,19.0,27.0,46.0,16.0,23.0,7.0,19.0,27.0,46.0
