company_id,filter_broad_yes,filter_strict_no,filter_broad_yes_strict_no,gemini_total_accepted,gpt5_total_accepted,claude_total_accepted,company_name,Total Headcount,max_headcount,max_population,Stage Reached,category,Organization Name,ml_consensus_round,ml_lower80_round,ml_upper80_round,uncertainty_factor_x,k_methods,outlier_flag_gt3x,ml_share,ml_share_lower80,ml_share_upper80,debiased__filter_broad_yes,debiased__filter_strict_no,debiased__filter_broad_yes_strict_no,debiased__claude_total_accepted,debiased__gpt5_total_accepted,debiased__gemini_total_accepted,filter_broad_yes__zero_replaced,filter_strict_no__zero_replaced,filter_broad_yes_strict_no__zero_replaced,claude_total_accepted__zero_replaced,gpt5_total_accepted__zero_replaced,gemini_total_accepted__zero_replaced,filter_broad_yes__num,filter_strict_no__num,filter_broad_yes_strict_no__num,claude_total_accepted__num,gpt5_total_accepted__num,gemini_total_accepted__num,filter_broad_yes__adj,filter_strict_no__adj,filter_broad_yes_strict_no__adj,claude_total_accepted__adj,gpt5_total_accepted__adj,gemini_total_accepted__adj
tata-consultancy-services,3200.0,5400.0,305.0,,,,Tata Consultancy Services,640000,True,True,,,Tata Consultancy Services,3200,488,4863,9.964950285647877,3,True,0.005,0.0007625,0.0075984375,3200.0000000000027,5400.000000000003,305.00000000000006,,,,False,False,False,False,False,False,3200.0,5400.0,305.0,,,,3200.0,5400.0,305.0,,,
accenture,3500.0,3400.0,186.0,,,,Accenture,550000,True,True,,,Accenture,3400,333,3480,10.462707402242248,3,True,0.0061818181818181816,0.0006054545454545454,0.006327272727272727,3499.9999999999995,3399.999999999999,186.00000000000009,,,,False,False,False,False,False,False,3500.0,3400.0,186.0,,,,3500.0,3400.0,186.0,,,
deloitte,3700.0,2200.0,171.0,,,,Deloitte,430000,True,True,,,Deloitte,2200,285,3335,11.69942427939534,3,True,0.0051162790697674414,0.0006627906976744186,0.007755813953488372,3699.9999999999995,2199.9999999999995,171.00000000000009,,,,False,False,False,False,False,False,3700.0,2200.0,171.0,,,,3700.0,2200.0,171.0,,,
cognizant,1600.0,1300.0,85.0,,,,Cognizant,300000,True,True,,,Cognizant,1300,147,1535,10.465520808833686,3,True,0.004333333333333333,0.00049,0.005116666666666667,1599.9999999999998,1300.0,85.00000000000001,,,,False,False,False,False,False,False,1600.0,1300.0,85.0,,,,1600.0,1300.0,85.0,,,
ibm,3900.0,2300.0,443.0,,,,IBM,290000,True,True,,,IBM,2300,616,3509,5.698082129184202,3,True,0.007931034482758621,0.002124137931034483,0.0121,3899.9999999999977,2300.000000000001,443.0,,,,False,False,False,False,False,False,3900.0,2300.0,443.0,,,,3900.0,2300.0,443.0,,,
capgemini,1500.0,2100.0,103.0,,,,Capgemini,260000,True,True,,,Capgemini,1500,176,1963,11.155926801487757,3,True,0.0057692307692307696,0.0006769230769230769,0.00755,1500.0,2100.0,103.00000000000001,,,,False,False,False,False,False,False,1500.0,2100.0,103.0,,,,1500.0,2100.0,103.0,,,
genpact,582.0,384.0,28.0,,,,Genpact,130000,True,True,,,Genpact,384,47,536,11.32953179748177,3,True,0.0029538461538461537,0.00036153846153846154,0.004123076923076923,582.0000000000002,384.0,27.999999999999996,,,,False,False,False,False,False,False,582.0,384.0,28.0,,,,582.0,384.0,28.0,,,
357,97.0,31.0,5.0,,,,WA,87000,True,True,,,WA,31,7,77,10.721150287831128,3,True,0.0003563218390804598,8.045977011494253e-05,0.0008850574712643678,97.0,31.0,4.999999999999999,,,,False,False,False,False,False,False,97.0,31.0,5.0,,,,97.0,31.0,5.0,,,
fusion-bpo-services,312.0,178.0,48.0,,,,Fusion,85000,True,True,,,Fusion,178,62,279,4.470238404401549,3,True,0.0020941176470588236,0.0007294117647058824,0.0032823529411764706,312.00000000000006,177.99999999999997,48.00000000000001,,,,False,False,False,False,False,False,312.0,178.0,48.0,,,,312.0,178.0,48.0,,,
1374,161.0,166.0,21.0,,,,Fujitsu,62000,True,True,,,Fujitsu,161,32,165,5.2277045465932455,3,True,0.002596774193548387,0.0005161290322580645,0.002661290322580645,161.00000000000003,166.00000000000006,21.0,,,,False,False,False,False,False,False,161.0,166.0,21.0,,,,161.0,166.0,21.0,,,
sutherland-global,90.0,47.0,9.0,,,,Sutherland,58000,True,True,,,Sutherland,47,13,79,6.309573444801935,3,True,0.0008103448275862069,0.00022413793103448276,0.0013620689655172414,90.0,46.99999999999999,9.000000000000002,,,,False,False,False,False,False,False,90.0,47.0,9.0,,,,90.0,47.0,9.0,,,
booz-allen-hamilton,715.0,202.0,46.0,281.0,93.0,25.0,Booz Allen Hamilton,41000,True,True,,,Booz Allen Hamilton,129,46,380,8.28473676969541,6,True,0.0031463414634146343,0.001121951219512195,0.009268292682926829,714.9999999999999,202.00000000000006,46.0,45.744844035174275,93.00000000000003,177.72000450146277,False,False,False,False,False,False,715.0,202.0,46.0,25.0,93.0,281.0,715.0,202.0,46.0,25.0,93.0,281.0
208401,92.0,199.0,9.0,,,,FPT Software,26000,True,True,,,FPT Software,92,14,171,11.903877625364899,3,True,0.0035384615384615385,0.0005384615384615384,0.0065769230769230766,92.00000000000001,198.99999999999997,9.000000000000002,,,,False,False,False,False,False,False,92.0,199.0,9.0,,,,92.0,199.0,9.0,,,
publicissapient,356.0,151.0,20.0,150.0,31.0,2.0,Publicis Sapient,21000,True,True,,,Publicis Sapient,54,9,232,27.10081837766971,6,True,0.0025714285714285713,0.00042857142857142855,0.011047619047619047,356.0,151.0,19.999999999999996,3.659587522813943,31.0,94.86832980505132,False,False,False,False,False,False,356.0,151.0,20.0,2.0,31.0,150.0,356.0,151.0,20.0,2.0,31.0,150.0
avanade,200.0,174.0,11.0,106.0,22.0,2.0,Avanade,17000,True,True,,,Avanade,38,6,187,29.40202281747595,6,True,0.002235294117647059,0.00035294117647058826,0.011,199.99999999999991,174.0,11.000000000000002,3.659587522813943,22.000000000000004,67.04028639556965,False,False,False,False,False,False,200.0,174.0,11.0,2.0,22.0,106.0,200.0,174.0,11.0,2.0,22.0,106.0
swisscom,87.0,70.0,9.0,66.0,34.0,6.0,Swisscom,15000,True,True,,,Swisscom,38,10,78,7.85074181582673,6,True,0.002533333333333333,0.0006666666666666666,0.0052,87.0,70.00000000000003,9.000000000000002,10.978762568441827,34.00000000000001,41.74206511422259,False,False,False,False,False,False,87.0,70.0,9.0,6.0,34.0,66.0,87.0,70.0,9.0,6.0,34.0,66.0
