linkedin_id,ml_consensus_round,ml_lower80_round,ml_upper80_round
tata-consultancy-services,3200,488,4863
accenture,3400,333,3480
deloitte,2200,285,3335
cognizant,1300,147,1535
ibm,2300,616,3509
capgemini,1500,176,1963
genpact,384,47,536
357,31,7,77
fusion-bpo-services,178,62,279
1374,161,32,165
sutherland-global,47,13,79
physicsh2020,0,0,0
supply-solutions---procurement-consulting-services,0,0,0
booz-allen-hamilton,129,46,380
and-technology-research-ltd.,0,0,0
208401,92,14,171
publicissapient,54,9,232
avanade,38,6,187
swisscom,38,10,78
nec,49,31,69
yandex,275,125,417
ipe-maintenance-et-solutions-informatique,10,1,10
encorainc,57,8,77
scaleai,192,101,362
lgcns,40,16,62
pwc,0,0,0
the-ifish-group-inc-,6,1,11
saitsrl,3,1,22
cas-concepts-and-solutions-ag,9,3,24
quantiphi,105,27,233
bairesdev,15,1,35
kainos,3,1,21
bcg-x,54,18,123
tech-valley-tvy,0,0,0
eleks,3,1,9
65,16,2,22
10921,6,1,7
galaxe-solutions,4,1,8
navercloud,70,28,124
unique-micro-design-pty-ltd,6,3,10
g-research,30,21,54
coherent-solutions,3,1,7
515,0,0,0
facultyai,34,14,58
cohere-ai,98,58,171
cambridge-consultants,12,4,21
cerebras-systems,83,40,134
akvelon,3,1,11
166110,10,8,30
coexya,3,1,8
polestar-analytics,2,1,13
bespinglobal,1,1,3
omdena,31,7,118
quantumblack,30,9,59
stratpoint,3,1,6
presight-ai,11,3,21
datascience.co.il,49,26,98
saxonai,2,1,7
sambanova,33,15,53
mistralai,60,40,91
megvii%E6%97%B7%E8%A7%86,36,9,66
technology-control-co-,2,1,4
46119?trk=tyah&trkInfo=tas%3Acharter%20g%2Cidx%3A1-1-1,0,0,2
estsoft-corp,1,0,7
vrizeinc,1,1,3
closer,4,1,11
redmane-technology,1,1,6
edvantis,1,1,2
activefence,4,2,9
futureweitechnologiesinc.,11,9,35
techahead,1,1,4
preferred-networks,69,34,77
cloud-temple,1,1,3
kamtech-associates-pvt-ltd,0,0,2
beyond-ai,9,2,14
kyanon,2,1,4
lighton,7,2,9
software-systems-llc,0,0,0
q_agency,1,0,2
siloai,44,22,75
