linkedin_id,mean,q10,q50,q90
the-coca-cola-company,1.8916015625,0.0,1.0,5.0
sherwin-williams,1.646484375,0.0,1.0,3.0
burberry,1.279296875,0.0,1.0,3.0
penguin-random-house-publishing,0.5576171875,0.0,0.0,2.0
harpercollins,0.52734375,0.0,0.0,2.0
lvmh,0.0673828125,0.0,0.0,0.0
yeti,0.0576171875,0.0,0.0,0.0
the-north-face,0.041015625,0.0,0.0,0.0
jotun,0.0400390625,0.0,0.0,0.0
crocsinc,0.0390625,0.0,0.0,0.0
patagonia_2,0.0302734375,0.0,0.0,0.0
desigual,0.025390625,0.0,0.0,0.0
the-british-museum,0.0078125,0.0,0.0,0.0
sierra-nevada-brewing-co-,0.0048828125,0.0,0.0,0.0
london-symphony-orchestra,0.00390625,0.0,0.0,0.0
museo-nacional-del-prado,0.0029296875,0.0,0.0,0.0
new-york-philharmonic,0.0029296875,0.0,0.0,0.0
hydro-flask,0.0009765625,0.0,0.0,0.0
