linkedin_id,mean,q10,q50,q90
yandex,63.595703125,41.0,60.0,90.0
scaleai,48.9677734375,29.0,45.0,75.0
cohere-ai,48.4521484375,26.0,45.0,76.0
cerebras-systems,39.35546875,21.0,36.0,61.0
quantiphi,32.0380859375,19.0,30.5,46.0
mistralai,30.0078125,11.0,27.0,53.0
facultyai,29.0458984375,15.0,27.0,45.0
cognizant,27.103515625,2.0,18.0,65.0
preferred-networks,24.79296875,10.0,22.0,43.0
navercloud,22.5361328125,12.0,20.0,35.0
booz-allen-hamilton,20.5087890625,9.0,18.0,34.0
liquid-ai-inc,16.3935546875,9.0,16.0,25.0
lgcns,15.5029296875,6.0,14.0,27.0
omdena,15.470703125,7.0,14.0,26.0
upstageai,14.4287109375,7.0,13.0,23.0
sambanova,13.89453125,6.0,13.0,23.0
quantco,13.8427734375,7.0,13.0,22.0
bcg-x,13.0205078125,5.0,12.0,22.0
lighton,11.69140625,3.0,10.0,22.0
genpact,11.2705078125,0.0,7.0,28.0
ml6team,10.7568359375,5.0,10.0,17.0
quantumblack,10.67578125,3.0,10.0,19.0
infocusp,10.5625,6.0,10.0,16.0
publicissapient,9.0302734375,2.0,6.0,19.0
ipe-maintenance-et-solutions-informatique,8.1591796875,1.0,6.0,18.0
tryolabs,8.0556640625,2.0,7.0,14.700000000000045
beyond-ai,7.423828125,3.0,7.0,12.0
cambridge-consultants,6.68359375,2.0,6.0,13.0
g-research,6.5751953125,3.0,6.0,11.0
inflectionai,6.544921875,2.0,6.0,12.0
presight-ai,6.1572265625,2.0,5.0,11.0
abacusai,6.0576171875,2.0,6.0,10.0
swisscom,5.3955078125,2.0,5.0,9.700000000000045
visium-sa,5.28125,2.0,5.0,9.0
akvelon,5.1494140625,1.0,5.0,9.0
estsoft-corp,4.9912109375,2.0,5.0,9.0
modulai,4.8955078125,2.0,5.0,8.0
avanade,4.8076171875,1.0,4.0,10.0
activefence,4.650390625,2.0,4.0,8.0
auriznco,4.6396484375,2.0,4.0,8.0
nec,4.4775390625,1.0,4.0,9.0
the-ifish-group-inc-,4.3857421875,0.0,3.0,10.0
ntt-research,4.349609375,1.0,4.0,9.0
supply-solutions---procurement-consulting-services,4.2021484375,0.0,3.0,10.0
saitsrl,4.1748046875,0.0,3.0,10.0
agency-enterprise-studio,4.16015625,1.0,4.0,8.0
adaptive-ml,4.076171875,1.0,4.0,8.0
saxonai,3.884765625,1.0,3.0,8.0
cas-concepts-and-solutions-ag,3.8544921875,0.0,3.0,9.0
coexya,3.8076171875,1.0,3.0,8.0
polestar-analytics,3.8056640625,1.0,3.0,8.0
vinai-research,3.6318359375,1.0,3.0,7.0
merantix-momentum,3.5771484375,1.0,3.0,7.0
and-technology-research-ltd.,3.5625,0.0,2.0,9.0
bairesdev,3.5146484375,0.0,3.0,8.0
divedeepai,3.2783203125,1.0,3.0,6.0
halfspace,3.1748046875,0.0,3.0,7.0
effixis,3.16015625,1.0,3.0,6.0
mp-data-ds,3.0458984375,0.0,3.0,6.0
stratpoint,2.89453125,0.0,2.0,6.0
moov-ai,2.8701171875,1.0,3.0,5.0
orcawise,2.8564453125,0.0,3.0,6.0
technology-control-co-,2.76171875,0.0,2.0,6.0
kainos,2.7431640625,0.0,2.0,6.0
deepneuronic,2.71875,1.0,2.0,5.0
leewayhertz-technologies,2.546875,0.0,2.0,5.0
