id	employees	company_size	employees_in_linkedin
（株）シービーエスリサーチ	0	51-200 employees	0
aitnco	0	11-50 employees	0
argonaut-ai	0	11-50 employees	0
data-cowboys-llc	0	11-50 employees	0
exvy	0	51-200 employees	0
geeks-data-consulting	0		0
genysolutions	0	11-50 employees	0
globe-geosolution-private-limited	0	11-50 employees	0
ibmconsulting	0	10,001+ employees	0
nec	0	10,001+ employees	0
nivonexus	0	11-50 employees	0
physicsh2020	0	11-50 employees	0
spectra-analytics	0	2-10 employees	0
stowe-research-international-inc	0	2-10 employees	0
chapelhilltech	1	1 employee	1
developower-inc	1	2-10 employees	1
genia-latinoamérica	1	201-500 employees	1
hubthunder	1	11-50 employees	1
inftech-gmbh	2		1
knowm-inc	2	11-50 employees	1
lipon-technologies	1	2-10 employees	1
tarahai	1	11-50 employees	1
aiso-lab	1	2-10 employees	2
albitech-consulting-oy	1	1 employee	2
amplient-labs	2	51-200 employees	2
biz-conexión-digital	1	11-50 employees	2
inttaocorp	1	11-50 employees	2
kantic-analytics	1	2-10 employees	2
machinelearningsolutions	1	11-50 employees	2
sevn3-ai	1	11-50 employees	2
-.technology-sarl	3	11-50 employees	3
aiqrate	3	11-50 employees	3
flowplus-helping-you-work-smarter	2	11-50 employees	3
q-noon	3	201-500 employees	3
solid-software-solutions	1	11-50 employees	3
tqcs	1	11-50 employees	3
hydromind-group	1	2-10 employees	4
iinumbers	4	11-50 employees	4
taristechnologies	3	11-50 employees	4
youneed-s.a.s	3	11-50 employees	4
allogic-tecnologia	2	11-50 employees	5
augur-it-consulting	3	11-50 employees	5
new-outcome	3	11-50 employees	5
pbq-oilfield-services	4	51-200 employees	5
tmltlabs	3	11-50 employees	5
information-workers-group	4	11-50 employees	6
qexpert	4	11-50 employees	6
springbok-ai	4	11-50 employees	6
toncent-information-technology-services-shenzhen-co--ltd	4	51-200 employees	6
vertex-laboratories	3	11-50 employees	6
data-sleek	4	11-50 employees	7
gefatec-sistemas-software-e-consultoria	4	11-50 employees	7
courart-inform-tica-ltda	3	11-50 employees	8
gox-ltd	3	11-50 employees	8
ignous	4	11-50 employees	8
lukasa-llc	4	11-50 employees	8
muons-technology	4	11-50 employees	8
pyramid-cgi	4	11-50 employees	8
strong-analytics	4	11-50 employees	8
ai-consult	3	11-50 employees	9
hyquest-consulting-solutions-llc	4	11-50 employees	9
kmeleontech	4	11-50 employees	9
boltzbit	4	2-10 employees	10
chi-squarex	4	11-50 employees	10
kapahi-industries-private-limited	4	11-50 employees	10
www-doublecheckconsulting-com	4	11-50 employees	10
合肥斡亿信息科技有限公司	4		11
and-technology-research-ltd.	4	11-50 employees	11
intelligichain	4	11-50 employees	11
ipe-maintenance-et-solutions-informatique	4	11-50 employees	11
irrevo	4	11-50 employees	11
latamdigi	4	11-50 employees	11
themoonshotfactory	4	11-50 employees	11
ai-superior	4	11-50 employees	12
analytics-town	4	11-50 employees	12
kineo-ai	4	11-50 employees	12
overcode.tech	4	11-50 employees	12
sharpware	4	11-50 employees	12
aitil	4	11-50 employees	13
idalab-gmbh	4	11-50 employees	13
infopower-corporation	4	11-50 employees	13
nibgat	4	11-50 employees	13
cantabpi	4	11-50 employees	14
cybersift.io	4	11-50 employees	14
deepmetis	4	11-50 employees	14
plantechdev	4	11-50 employees	14
talentech-digital-llc	4	11-50 employees	14
techno-pro-india	4	51-200 employees	14
creatica-gmbh	4	11-50 employees	15
deepneuronic	4	11-50 employees	15
digitalstrategyinnovation	4	11-50 employees	15
digiwisehub	4	11-50 employees	15
lexoro	4	11-50 employees	15
makesai	4	11-50 employees	15
pentadata	4	11-50 employees	15
projak-infotech-pvt-ltd	4	11-50 employees	15
rotunda-solutions	4	11-50 employees	16
xpertdataworks	4	11-50 employees	16
5onenalytics	4	11-50 employees	17
enliteai	4	11-50 employees	17
hexafoldtech	4	11-50 employees	17
isboptimus	4	11-50 employees	17
lund&bendsen-as	4	11-50 employees	17
nnaisense	4	11-50 employees	17
spark-wave	4	11-50 employees	17
supply-solutions---procurement-consulting-services	4	51-200 employees	17
austin-technology	4	11-50 employees	18
dain-protocol	4	11-50 employees	18
evergopartners	4	11-50 employees	18
infer-solutions	4	11-50 employees	18
miracle-finland-oy	4	11-50 employees	18
amai-gmbh	4	11-50 employees	19
softshark	4	11-50 employees	19
tensorleap	4	11-50 employees	19
thinkcol-limited	4	11-50 employees	19
alltegrio	4	201-500 employees	20
grenoblepartners	4	11-50 employees	20
kifwat-india	4	11-50 employees	20
neural-magic	4	51-200 employees	20
inferlink-corporation	4	11-50 employees	21
rare-mile-technologies	4	51-200 employees	21
imandra	4	11-50 employees	22
softtact	4	2-10 employees	22
bigdata-republic	4	11-50 employees	23
cosmosthrace	4	11-50 employees	23
itspeoplenederland	4	11-50 employees	23
monadical	4	11-50 employees	23
brainpool-ltd	4	11-50 employees	24
iceapple-technology-solutions	4	11-50 employees	24
lucientdata	4	51-200 employees	24
sr-international-inc	4	11-50 employees	24
bravinci	4	51-200 employees	25
inavan	4	11-50 employees	25
ml-cube	4	11-50 employees	25
next's	4	11-50 employees	25
xaigi-technology-inc	4	11-50 employees	25
datapy	4	11-50 employees	26
droidsagency	4	11-50 employees	26
hcube-conseil	4	51-200 employees	26
jaam-automation	4	11-50 employees	26
unique-micro-design-pty-ltd	4	11-50 employees	26
chipside-limited	4	11-50 employees	27
modulai	4	11-50 employees	27
nuaig	4	51-200 employees	27
datarootlabs	4	11-50 employees	28
grps-lab-private-limited	4	11-50 employees	28
numlabs	4	11-50 employees	28
the-ifish-group-inc-	4	11-50 employees	28
xcale-consulting	4	11-50 employees	29
atmo-ai	4	11-50 employees	30
bit-addict	4	11-50 employees	30
bysgrup	4	11-50 employees	30
kaeyros-analytics	4	11-50 employees	30
siali	4	11-50 employees	31
ted-rpa-data	4	11-50 employees	31
rci-analytics-intelligence	4	51-200 employees	32
adaptive-ml	4	11-50 employees	33
applied-data-science	4	11-50 employees	33
eoda-gmbh	4	51-200 employees	33
exposit	4	51-200 employees	33
pitt-technology-group	4	51-200 employees	34
craftworks-gmbh	4	11-50 employees	35
effixis	4	11-50 employees	35
archiot-digital-solutions-pvt-ltd	4	51-200 employees	36
redmaxx	4	51-200 employees	36
3alica	4	11-50 employees	37
orobix-srl	4	11-50 employees	37
ventagium	4	11-50 employees	37
andro-computational-solutions-llc	4	11-50 employees	40
divedeepai	4	11-50 employees	40
onepredict	4	51-200 employees	40
objetivasolucao	4	11-50 employees	41
automators	4	51-200 employees	43
lbox-co-ltd	4	51-200 employees	43
bds-chile	4	11-50 employees	44
intinc	4	11-50 employees	44
tapptitude	4	51-200 employees	44
hacksoft	4	11-50 employees	45
kamtech-associates-pvt-ltd	4	11-50 employees	45
saitsrl	4	11-50 employees	45
searchmetrics-inc	4	201-500 employees	45
mi-6-ltd	4	51-200 employees	46
etalytics	4	51-200 employees	50
bigthinkcode	4	51-200 employees	52
cogent-labs	4	51-200 employees	52
neurosys	4	51-200 employees	52
wednesday-solutions	4	11-50 employees	52
fraktal-as	4	51-200 employees	53
info-strategic	4	51-200 employees	55
markovate	4	51-200 employees	55
tagtoo	4	51-200 employees	56
indata-labs	4	51-200 employees	57
moov-ai	4	51-200 employees	57
rk-software-services-llc	4	51-200 employees	57
wearedragonfly	4	51-200 employees	57
launchpad-lab	4	51-200 employees	58
merantix-momentum	4	51-200 employees	58
orcawise	4	51-200 employees	58
partnershipai	4	11-50 employees	59
expos-data-exposed	4	51-200 employees	62
fs-studio	4	51-200 employees	62
inflectionai	4	11-50 employees	63
software-systems-llc	4	51-200 employees	64
vsdata	4	11-50 employees	65
addepto	4	51-200 employees	67
resileo-labs	4	51-200 employees	67
teamonegroup	4	501-1,000 employees	67
enthought	4	51-200 employees	70
lighton	4	11-50 employees	72
tech-valley-tvy	4	51-200 employees	72
visium-sa	4	51-200 employees	73
xenonstack	4	51-200 employees	77
halfspace	4	51-200 employees	79
liquid-ai-inc	4	51-200 employees	79
xaion-data-inc	4	11-50 employees	79
mojotech	4	51-200 employees	80
guardians-infotech-llc	4	201-500 employees	84
ntt-research	4	201-500 employees	84
xomnia	4	51-200 employees	90
tryolabs	4	51-200 employees	91
qvik-oy	4	51-200 employees	92
altrium-io	4	51-200 employees	93
closeloop-inc-	4	51-200 employees	94
rbc-group	4	51-200 employees	95
fiddler-ai	4	51-200 employees	100
dextra-digital	4	5,001-10,000 employees	106
jdsc	4	51-200 employees	107
stme	4	51-200 employees	107
visual-it-solutions-pvt-ltd	4	201-Selected 298 companies with 106087 total LinkedIn profiles
500 employees	107
intelliarts	4	51-200 employees	114
h.i.-iberia-ingenier-a-y-proyectos	4	51-200 employees	118
cas-concepts-and-solutions-ag	4	51-200 employees	125
vinai-research	4	201-500 employees	126
ml6team	4	51-200 employees	130
konverge-ai	4	201-500 employees	133
spatialedge	4	51-200 employees	134
mp-data-ds	4	51-200 employees	145
sahanasystemltd	4	201-500 employees	157
schafer-corporation	4	501-1,000 employees	163
auriznco	4	201-500 employees	168
abacusai	4	51-200 employees	181
upstageai	4	51-200 employees	183
agency-enterprise-studio	4	51-200 employees	197
xitasogmbh	4	201-500 employees	199
avertra	4	201-500 employees	200
binariks	4	51-200 employees	200
leewayhertz-technologies	3	51-200 employees	201
megamax-services	4	201-500 employees	205
techsource-inc	4	501-1,000 employees	223
infocusp	4	201-500 employees	225
quantco	4	51-200 employees	233
alexander-thamm-gmbh	4	201-500 employees	239
azati-corporation	4	201-500 employees	248
q_agency	4	201-500 employees	258
kyanon	4	201-500 employees	286
preferred-networks	4	201-500 employees	294
cloud-temple	4	201-500 employees	299
techahead	4	201-500 employees	301
activefence	4	201-500 employees	312
edvantis	4	201-500 employees	337
redmane-technology	4	201-500 employees	349
beyond-ai	4	201-500 employees	358
closer	4	201-500 employees	362
estsoft-corp	4	501-1,000 employees	374
accordbgroup	2	51-200 employees	391
technology-control-co-	4	501-1,000 employees	404
vrizeinc	4	201-500 employees	417
mistralai	4	201-500 employees	429
netguru	4	201-500 employees	465
sambanova	4	201-500 employees	474
presight-ai	4	501-1,000 employees	491
stratpoint	4	201-500 employees	518
omdena	4	201-500 employees	522
quantumblack	4	1,001-5,000 employees	531
megvii旷视	4	1,001-5,000 employees	541
saxonai	4	501-1,000 employees	581
akvelon	4	1,001-5,000 employees	627
polestar-analytics	4	501-1,000 employees	640
cerebras-systems	4	201-500 employees	716
cambridge-consultants	4	501-1,000 employees	784
cohere-ai	4	201-500 employees	816
coexya	4	501-1,000 employees	847
digitalleague	4	1,001-5,000 employees	869
facultyai	4	201-500 employees	922
g-research	4	501-1,000 employees	1105
coherent-solutions	4	1,001-5,000 employees	1325
navercloud	4	501-1,000 employees	1326
galaxe-solutions	4	1,001-5,000 employees	1337
eleks	4	1,001-5,000 employees	1909
kainos	4	1,001-5,000 employees	2927
bairesdev	4	1,001-5,000 employees	3107
quantiphi	4	1,001-5,000 employees	3838
scaleai	4	501-1,000 employees	5596
lgcns	4	5,001-10,000 employees	5918
theprobegroup	4	10,001+ employees	8789
yandex	4	10,001+ employees	9425
swisscom	4	10,001+ employees	15682
avanade	4	10,001+ employees	17609
