cv_text	category
Experiences: Cognizant (Senior Manager - IoT, Smart Buildings): Developing Generative AI products and data pipelines. | Numb3rs (Lead AI Software Engineer): Your startup's missing CTO. Problem solved. The Numb3rs work.      schedule a call ~> www.thenumb3rs.work. | Oystr (Founder): Please follow our journey at -> www.oystr.club!      Oystr solves the problem of finding spaces for comfortable community for entry level professionals, founders and developers, and bootcamp graduates.        Founder through the Oneday MBA program -> https://www.oneday.io/us | Kforce Inc (Lead Data Engineer, Data Products): Supporting the implementation of a data mesh architecture for the Advana Project for OUSD CDAO.     Building data pipelines to support big data analytics, AI/ML, and data science applications of several databases. | Deloitte (Lead Software Engineer, Risk Quantification PRISM): Senior Consultant at Deloitte, leading backend development for an internal application. led backend development and supported requirements development of three MVP dashboards. Managed data pipeline development, database schema development, backend technology selection, hired and trained 3+ new engineers, led AI/ML ideation and development team (including Generative AI use cases) and supported certification to sell process through completion for ability to license and distribute product. | Dantley-Maxey Solutions, LLC (Technical Consultant (Data Analyst, Test Engineer, Program Management)): Independent consultant to I3PG for the Department of Homeland Security. Provided data analysis, project planning, technical writing, acquisition lifecycle framework, and systems engineering lifecycle support. Served as the primary test engineer or data analyst for 5+ years prior to switching to program management support. Have supported and managed small (2-4) and large (10-15) cross-functional personnel teams for 10+ successful test events, received kudos from leadership for quality of work and work under pressure, and have created and presented new analysis tools to improve the A&AS contract team’s analysis capabilities. Assisted in on-boarding and training of 8+ individuals on this contract.      Applied Python for data visualization in support of several of the top priority programs for CWMD. Have coordinated projects for a team to develop process improvement and analysis tools with Python scripts. Have been trained in RStudio, as well as worked with SQL developers to create complex queries of test data. | Accenture (Systems Developer Specialist): Primarily worked as a technical architecture analyst for the United States Postal Service contract, providing troubleshooting assistance for Informatica PowerCenter issues, supported code migrations for production releases, investigated new software for application and utility, and provided data management and network support. Managed a 4-person helpdesk team, assisting in on-boarding for two new hires, and managed daily ticket workload amongst the team and provided daily updates to management in cross-team meetings. Received in-depth training in Java and SQL. || Certifications: awwwards.: Digital Products from Scratch | Databricks: Databricks Certified Data Engineer Associate | DeepLearning.AI: How Transformer LLMs Work | DeepLearning.AI: Vibe Coding 101 with Replit | adplist.org: 100 Mentorship Minutes | Udemy: Terraform for AWS | Udemy: Databricks Certified Data Engineer Professional - Preparation | Udemy: Databricks Certified Data Engineer Associate - Preparation | Databricks: Academy Credential - Databricks Lakehouse Fundamentals | notJust.dev: React Native 101 | Udemy: React JS Porfolio Project - React Training for Beginners | Udemy: Django Database ORM Mastery | Udemy: GitHub Actions - The Complete Guide | D-Wave: Quantum Programming 101 - Core | Amazon Web Services (AWS): AWS certified machine learning - specialty | IBM: Qiskit Global Summer School 2022 - Quantum Excellence | StackSkills: Data Analysis with Python and Pandas | Coursera: Automating Real-World Tasks with Python | Coursera: Configuration Management and the Cloud | Coursera: Google IT Automation with Python || Education: – Master of Business Administration - MBA @ Oneday | Physics, Mathematics, and Philosophy – Bachelor's Degree @ William & Mary | Philosophy and Mathematics – none @ Indiana University of Pennsylvania || Summary: Transforming enterprises through AI-powered data solutions  Lead Data Engineer & Product Manager with nearly a decade building production-scale AI systems for Fortune 500 clients and federal agencies. Currently architecting generative AI workflows at the World Bank using Azure Databricks, LangChain, and vector stores that enable thousands of users to interact with institutional knowledge.  Recently delivered:     Self-improving AI analytics platforms for the Department of Defense  End-to-end data pipelines processing millions of SEC filings  Zero-to-production ML systems serving real-time insights     Consulting expertise: AI product strategy, cloud-native architectures, team leadership, and enterprise AI deployment. I help organizations move from AI experimentation to production-ready systems that drive measurable business outcomes.  Ready to scale your AI initiatives? Let's talk about turning your data into competitive advantage.	#REF!
Experiences: FAR.AI (Technical Lead): | Cornell University (Computer Science PhD): PhD advised by Thorsten Joachims, with Kilian Q. Weinberger and Wen Sun serving as committee members. Graduated December 2024. | Microsoft Research (Intern): Did a project on off-policy evaluation for objective functions defined as network properties supervised by Jennifer Neville. | Future of Humanity Institute (Summer Fellow || Center for the Governance of AI): | Wave (Mobile Remittance) (Software Engineer): | Berkeley Center for Human-Compatible AI (Summer Intern): Developed Inverse Reinforcement Learning algorithms and experiments for Atari games resulting in a publication in the NeurIPS Deep RL Workshop 2018. | Harvard Intelligent Probabilistic Systems Group (Research Assistant): September 2015-onward:  Worked on a project for using discrete observations in Bayesian time series models.     Assisted a project for using auxiliary variables to make Gibbs sampling possible for models of linear dynamical systems with observations following a negative binomial distribution. Currently working on extending the project to be able to use Stochastic Variational Inference in order to improve scalability.     June 2014-December 2014:  Worked on a machine learning project investigating models for learning physically meaningful models of neural dynamics intended for disease treatment and diagnosis. Wrote and extended particle filtering and MCMC code. Used numpy and matplotlib. | Palantir Technologies (Forward Deployed Software Engineer Intern): Worked on machine learning and data analytics for a client in managed care.     Developed predictive model for disease progression to help triage managed care interventions for high-risk Medicare/Medicaid dual eligible populations in order to improve care.     Developed a workflow for investigating causal impact of intervention, and disambiguating effect of treatment from regression to the mean in order to analyze cost reductions. | BuzzWord, Inc. (Technology Advisor): Led technology strategy and sourcing. Worked on budget analysis and business model consulting. | MetaMed (Researcher): Summer of 2012:  Worked on logistics and administration in a volatile startup environment.     Summer of 2013:  Independently ran project investigating the out of pocket costs of following the US Preventive Services Task Force recommended screening procedures for different demographics and insurance statuses, and comparing to other countries. This required learning about reimbursements in the US medical system, and involved such highlights as tracking down CPT codes for particular procedures, calling diagnostics companies for prospective costs, and finding the Medicare/Medicaid reimbursement spreadsheets. I also did some web scraping to get data for price comparisons. || Certifications: || Education: – Doctor of Philosophy - PhD @ Cornell University | Computer Science – Bachelor of Arts (B.A.) @ Harvard University | Science, Mathematics, Computer Science Magnet Program – @ Montgomery Blair High School || Summary: Tech Lead at FAR.AI. We’re hiring! https://far.ai/jobs/	#REF!
Experiences: Center for Human-Compatible AI (Research Intern): Conducting research in Reinforcement Learning under the supervision of Drs. Stuart Russell and Arnaud Fickinger. | Ipesup (Teacher in Mathematics and Computer Science): - Provided academic support and tutoring sessions to students enrolled in scientific preparatory programs.  - Proofread educational materials migrated to LaTeX. | Inria (Research Assistant): - Conducting research in Evolutionary Algorithms under the supervision of Dr. Benjamin Doerr and Dr. Johannes Lutzeyer. | CMAP Ecole Polytechnique (Research Assistant): — Conducting research in Evolutionary Reinforcement Learning algorithm with Dr. Matthieu Lerasle.     Our research has been accepted as full-paper at GECCO 2025: https://www.arxiv.org/abs/2504.14418.     In the project:  — we design an improved version of the EA+RL algorithm, we study its theoretical average runtime by deriving a tight upper bound and outline the advantages of our novel method, notably we highlight an unlearning ability of the RL agent not present in the previous method,     — we benchmark the proposed improved algorithm, compare it to its predecessor and illustrate its  superiority even in settings where both methods have the same theoretically optimal bound O(n log(n)): our approach outperforms the previous EA+RL by a factor of (roughly) x10. | Intel Corporation (GPU Software Architecture Advanced Development Intern): - Wrote python scripts to generate charts of Intel HW units utilization.  - Wrote TaskMLs scripts that automized the process of running applications on Intel HW in order to collect data of HW units performance. | Ubisoft (Research Fellowship): - Designed a game in which the agent is controlled through voice or text inputs, using LLMs under constrained grammar generation (on the llama.cpp Python binding).  - Collaborated with research scientists Rémy Portelas from Ubisoft Bordeaux and Antoine Houdard from Ubisoft Montréal. | ENCPB - Lycée Pierre-Gilles de Gennes (Teaching Assistant and Ambassador of École Polytechnique): - Tutored high school and undergraduate students in scientific subjects. || Certifications: Coursera: Deep Learning Specialization || Education: – Cycle Ingénieur Polytechnicien, Mathématiques Appliquées, Informatique @ École Polytechnique | – Classes préparatoires aux grandes écoles (CPGE), MP* option Informatique @ Lycée Kléber | – Classes préparatoires aux grandes écoles (CPGE), MPSI option Informatique @ Lycée Claude Gellée || Summary:	#REF!
Experiences: Google DeepMind (Research Scientist): Working with the Gemini post-training team. | Mila - Quebec Artificial Intelligence Institute (Doctoral Student): Advisor: Christopher Pal (Polytechnique Montreal, ServiceNow Research)  Worked on using self-play and population-based training in emergent communication. | Google (Research Intern): Advisors: Labs at Google Research  Improving code correctness in LLMs using execution feedback with RL and multi-turn self-repair. | Microsoft (Research Intern): Advisors: Reinforcement Learning team, Microsoft Research  On aligning human feedback in large language models. | Microsoft (External Staff): Advisors: Deep Learning Team, Microsoft Research  Infusing external knowledge to improve cross-modal retrieval using ChatGPT/DALLE-2. | Meta (Research Intern): Advisors: AI Integrity, FAIR  Using epistemic uncertainty for exploration and generalization in deep RL. | Microsoft (Research Intern): Advisors: Game Intelligence Team, Microsoft Research  Learning human-like behavior using offline-RL in Bleeding Edge (Ninja Studios). | Google DeepMind (Research Scientist Intern): Advisors: Deep Learning team  Modeling opponent prediction tasks in StarCraft II using offline human replays for AlphaStar Supervised. | Borealis AI (Research Intern): Advisor: Matthew Taylor (now at UAlberta)  Learning robust agent policies for negotiation in multi-agent reinforcement learning. | NYU Center for Data Science (Graduate Research Assistant): Advisor: Kyunghyun Cho (CILVR Lab, NYU)  Studying the relation between capacity and bandwidth in compositional emergent languages.     Advisor: Jason Weston (Meta AI)  Creating a unified model for QA and VQA tasks using MSCOCO captions in ParlAI. | Courant Institute of Mathematical Sciences (Graduate Teaching Assistant): Instructor - Ankur Parikh (Google DeepMind)  Teaching Assistant for the graduate course on Statistical Natural Language Processing (CSCI-GA.3033-008) for Fall 2017. | Adobe (Research Intern): Advisors: Creative Intelligence Team, Adobe Research  Building an intelligent assistant for vision replacement tasks using natural language input. | Carnegie Mellon University (Research Intern, Language Technologies Institute): Advisor: Florian Metze (also at Meta AI)  - Developed a BiDirectional LSTM language model with video features for context-aware speech recognition.  - Achieved a 7% relative WER improvement for noisy indoor and outdoor videos. | National University of Singapore (Research Intern, School of Computing): Advisor: Khe Chai Sim (now at Google DeepMind)  - Developed a generic application to visualize hidden layer activations of a live recorded audio feedforwarded through a deep neural network.  - Used MFCC features with LDA in a Kaldi DNN model.  - Employed OpenGL shader libraries for graphics rendering and tSNE plots to get the coordinates. || Certifications: University of Maryland: Programming Mobile Applications for Android Handheld Systems || Education: – @ Université de Montréal | – @ New York University | – @ Birla Institute of Technology and Science, Pilani || Summary: I'm interested in the intersection of reinforcement learning and language focusing on fine-tuning LLMs with machine/execution feedback and building robust evaluation metrics.	#REF!
Experiences: HCLTech (Enterprise Architect): | Conn's HomePlus (Senior Engineering Manager): • Partner closely with Migration, Integration, & Identity TPMs for success of interdependent programs & manage complete e-commerce engineering tech stack, incorporating technologies like Big Commerce, Node, AWS, React, Type Script, Spring Boot.  • Successfully integrated 3rd party systems like AS400, MULEsoft, High Jump, TrueCommerce, Manhattan, Kibo, PIM, Cloudinary, Synchrony payment, American First finance, and ImproveMint lease-to-own payment methods. Introduce New Features for customer digital journey for preference management, transaction tagging and tracking with customer first mindset.   • Drive automation on DevOps & CI CD, using tools like Jenkins, Stash, cucumber, Selenium. Control automation, mitigate compliance and regulatory audit findings.   • Modernize the credit platform with enhanced data capabilities, by adding in-memory caching, read and write event stores Mongo and Maria, Logging and transaction tracking in data streams, Dockers containers with kafka overlay. Move away from file based and batch approaches.  • Oversee the direction, seamless coordination, and flawless execution of parallel software deployments spanning Agile and Waterfall teams, steadfastly upholding unwavering consistency with company objectives and commitments.  • Streamlined CI/CD pipeline, reducing software release cycles, accelerating speed to market & enhancing development | Chico's FAS, Inc. (Technical Architect): • Led development of advanced headless e-commerce system & microservices-based customer service platform, collaborating with on-site and offshore teams, & architecting solutions to move from on premises monolith infrastructure to Azure cloud built on tech stack like Java, Node, Spring boot, React.  • Implemented containerization strategies using Docker and Kubernetes for scalable deployments.  • Applied Buy online Pick up in Store, optimizing operations through technology stack selection & with REST APIs.  • Enhanced efficiency by creating Kafka Cluster and integrated that with Spring Boot Micro Service  • Orchestrated CI/CD pipelines to streamline software delivery processes effectively.  • Implemented new Content management solutions with Stibo MDM(Step).  • Involved in Involved in design & development of end-to-end workflows – POB (Product On-    Boarding), PFC (Product Family Creation) and DAM (Digital Asset Management).  • Implemented new Payment methods like Apple Pay, PayPal, SmartCllx for giftcard processing.  • Built advance order management System with Manhattan DOM.  • Achieved significant revenue growth by successfully launching the Chicos off the rack brand, orchestrating 8+ years of successful holiday campaigns, and overseeing the seamless migration of the entire e-commerce platform to the cloud. | Belk (Software Engineering Manager): • Managed globally distributed DevOps team, maintaining issue tracking & documentation systems, for impeccable issue & project tracking visibility, and exercising extensive authority in directing and executing technical operations.  • Demonstrated a high level of expertise in business process modeling, detailed specification preparation, and effective implementation of DevOps practices while continually being able to foster a culture of continuous improvement.  • Conducted code reviews, optimized web assets, and actively contributed to requirements and design meetings.  • Excelled in team management, managing offshore teams, & providing proficient daily support for production tasks, with project planning encompassing all SDLC lifecycle documents & financials for rigorous project tracking & control. | Nike (Senior Consultant): • Led 4-member Engineering team to develop Nike China's complete check-out experience, overseeing deployment, testing, & production stages, focused on core financial model design, ATG-SOA integration, & security implementation.  • Provided project guidance, enterprise architecture reviews, & solutions for Oracle POS integration, while optimizing platform & defining new system architectures for Global E-com & Unified Profile Management for Microservices. | Cognizant Technology Solutions (Project Lead): • Delivered many projects for key strategic clients including Walgreens, AIMCO, GFS, & more, while transitioning between pivotal consulting roles like Project Lead, Program Manager, & Technical Architect to ensure exceptional outcomes.  • Facilitated efficient project execution, discussions, decision-making, conflict resolution, and impediment removal.  • Designed AIMCO's middleware solutions, performance testing, project planning, & SCRUM project management.   • Oversaw end-to-end delivery of diverse programs & parallel technical projects for clients ranging from startups to large enterprises, managing 8-10 client projects, 4-6 teams, and multiple 3rd party vendor engagements concurrently.  • Piloted the creation of high-level technical design documents, the crafting of intricate solutions, and the expert execution of essential application features, making a substantial impact on project success.  • Provided visionary leadership to engineering teams with innovative design & solutions to clients in diverse sectors. | Accenture (Senior Software Engineer): • Partnered with client leadership to develop solutions aligned with their business and marketing goals.  • Headed design & seamless implementation of Multi Branding capability for Thomascook.com, while orchestrating development & integration of ATG & .NET web services with ATG application to enhance functionality & performance.  • Facilitated performance & threads analysis, managed JVM memory/heap, implemented settings, & exhibited expertise in investigating issues & defects, identifying root causes & formulating targeted corrective action recommendations | HCL Technologies (Member Of Technical Staff): • Executed a thorough analysis of client business processes, applying strategic insights to design & propose software applications tailored to meet unique & intricate requirements, for a significant 20% reduction in resource allocation.  • Championed technology upgrades to fortify client security, implementing enhancements & reconstructing computer systems to maximize efficiency while proactively investigating & resolving system issues to minimize downtime. || Certifications: || Education: Electrical and Electronics Engineering – Bachelor of Engineering (B.E.) @ GIET GUNUPUR || Summary: HCLTech empowers organizations with cloud-driven enterprise architecture and modernization strategies. Bringing over 18 years of expertise in agile development, microservices, and DevOps, the team collaborates across stakeholders to deliver scalable solutions. Current efforts focus on digital transformation through cloud-native system integration, automation, and advanced e-commerce platforms.       Previous successes include leading the overhaul of legacy systems to Azure cloud platforms and implementing CI/CD pipelines using Docker and Kubernetes. With a mission to streamline operational efficiency and improve customer digital journeys, contributions span multi-platform integrations, stakeholder management, and end-to-end technical leadership.	#REF!
Experiences: FAR.AI (CEO): | Center for Human-Compatible AI (Graduate Student Researcher): | DeepMind (Research Intern): | GSA Capital (Junior Researcher): || Certifications: || Education: Artificial Intelligence – Doctor of Philosophy - PhD @ University of California, Berkeley | Computer Science – Master’s Degree @ Cambridge University | Computer Science – Bachelor of Arts (BA) @ University of Cambridge | – A-level @ Budmouth Technology College || Summary: I am the co-founder and CEO of FAR.AI, a non-profit AI safety research institute. We're hiring!	#REF!
Experiences: Anthropic (Independent Contractor, Bug Bounty Program): Participated in bug bounty initiatives focused on identifying and resolving security vulnerabilities, contributing to the safety and robustness of advanced AI systems. | OpenAI (Independent Contractor, OpenAI Red Teaming Network): Participated part-time in OpenAI-led red teaming efforts to assess the risks and safety profile of OpenAI models. | Polish-Japanese Academy of Information Technology (Associate Professor, Head of the Department of Bioinformatics): As an Associate Professor, I have designed and developed a Bioinformatics course and have been teaching it in both Polish and English languages. In addition, I am currently developing postgraduate studies in the field of bioinformatics. As a researcher, I am currently working on scientific publications and preparing grant proposals for interdisciplinary projects at the intersection of biology and AI. | Kuzdraliński.pro (Owner): Consulting services concerning phytopathology, biotechnology, molecular microbiology, genetics, molecular techniques, also combining science and business. Operating the e-biotechnologia.pl portal (the development of a virtual textbook of biotechnology, sale of advertising space, patronage over conferences). Popularization of science (cooperation with the media and journalists). | e-biotechnologia.pl (Founder & Lead Content Creator at e-biotechnologia.pl): As the founder and primary content creator for e-biotechnologia.pl, I have dedicated my expertise and passion to the growth and development of this platform, ensuring it stands out as a leading source of biotechnology information and insights in Poland. Key Responsibilities: Content Creation, Advertiser Acquisition, SEO Specialist, Web Development. | CyberSkiller (Programming Courses Creator & Tutor): I specialize in the creation and delivery of programming courses, focusing primarily on Python and bioinformatics for postgraduate studies. My role encompasses a wide range of responsibilities, including curriculum design, content creation, and direct student engagement through teaching and consultation. | Sundose (Head of Science): As the Head of Science at Sundose, I led a team of scientists responsible for developing new products and modifying existing ones. In this role, I collaborated closely with departments such as IT, production, product, marketing, and others to ensure that our scientific efforts aligned with overall company strategy. My work included conducting scientific research and clinical trials to support product development, as well as ensuring compliance with legal and regulatory requirements for supplements. I also led efforts to develop technologies for personalized supplementation, which involved exploring new avenues of research and development. Throughout my tenure as Head of Science, I emphasized the importance of innovation and collaboration, seeking out new opportunities to push the boundaries of scientific knowledge and develop cutting-edge products. I worked closely with other departments to ensure that our scientific efforts were aligned with overall company strategy, and I am committed to continued growth and success in this exciting field. | Uniwersytet Marii Curie-Skłodowskiej w Lublinie (Adjunct Assistant Professor): I integrate computer science with DNA storage, but this is only the beginning ;) | Insignes Labs (Consultant/expert): CSO scientific team member within Project "Development and verification in real conditions of new formulations of plant protection products that guarantee their increased effectiveness" POIR.01.01.01-00-0627/19-00 | Univeristy of Life Sciences in Lublin (Assistant Professor): Areas of interest: molecular phytopathology, phylogenetics, genetics, genomics, transcriptomics, bioinformatics, molecular techniques, molecular biology, microbiology, crop pathogens, molecular tests, DNA sequencing, PCR, immunoenzymatic methods, lab-on-a-chip technologies. I publish on such journals e.g: Journal of Molecular Microbiology and Biotechnology, European Journal of Plant Pathology, Food Control. I have patents in the field of rapid molecular tests detecting common wheat pathogens. My ResearchGate profile: https://www.researchgate.net/profile/Adam_Kuzdralinski My Google Scholar profile: https://scholar.google.pl/citations?user=-HUVk3gAAAAJ&hl=pl | Nexbio (CTO at NEXBIO): The development of DNA analysis technologies used by the company. R&D projects coordinator. | Nexbio (CEO): Co-founder of the company. Co-creator of technologies used in the company. Equipping and setting up a laboratory. R&D projects coordinator. | VITAGENUM (Project Leader): „R&D to develop a new technology for combining amplicons with reading the sequence of the obtained DNA fragment” - RPO WL 2014-2020 | VITAGENUM (PR and marketing cooperation): Genocosmetics: (a) PR activities: events and conferences, (b) consultant on molecular tests Technical support in creating new product alliances and development of the product offer | VITAGENUM (Cooperation): Negotiating R&D project RPO WL 2014-2020 „R&D to develop a new technology for combining amplicons with reading the sequence of the obtained DNA fragment” Co-creator of a new services and products e.g. genocosmetics Cooperation with prospective resellers Consultancy on laboratory equipment and techniques | VITAGENUM (CEO): Responsible for a company’s overall operations and performance Building and developing company services People management Marketing and sales management R&D projects coordinator Cooperation with resellers and distributors Participation in Life Science events and conferences R&D Project preparation (RPO WL 2014-2020): „R&D to develop a new technology for combining amplicons with reading the sequence of the obtained DNA fragment” | VITAGENUM (Vice CEO, Director of Technology and Implementation): Co-founder of the company Co-creator of technologies used in the company and genetic reports for clients Equipping and setting up a laboratory R&D projects coordinator PR activities || Certifications: || Education: Agronomy/Plant Pathology – DSc / habilitation @ University of Life Science in Lublin | Agronomy/Food Microbiology – Doctor of Philosophy - PhD @ University of Life Sciences in Lublin | Biotechnology – Master of Science - MS @ University of Life Sciences in Lublin || Summary: Experienced R&D Professional with 10+ years of experience in innovative technological projects. Specializing in biotech research, managing research projects and data analysis.	#REF!
Experiences: Google DeepMind (Strategy & Special Projects, Office of the CEO): | DeepMind (Applied Strategy): | Atlas Holdings LLC (Special Situations & Distressed Investing): | AppNeta (Bain Cap portfolio company) (Analytics): | Bain Capital Ventures (Software and Internet Investing): | Google (Software Engineering Intern): Colossus team (New York) China infrastructure team (Shanghai) || Certifications: || Education: – Master of Business Administration (MBA) @ Harvard Business School | Computer Science – Bachelor of Science in Engineering (BSE) @ Princeton University || Summary:	#REF!
Experiences: FAR AI (Research Scientist): || Certifications: || Education: Engineering – Doctor of Philosophy - PhD @ University of Cambridge | Computer Science – Master of Science (MSc) @ University of Oxford | Computer Science – Erasmus - BSc CS @ Karlstad University | Computer Science – Bachelor's degree in Computer Science @ Universitat Pompeu Fabra | Technology – High School degree, specifically Technology @ Maristes Rubí | – @ University of Cambridge || Summary: My goal is to prevent existential risk from AI. To this end, I am researching how neural…	#REF!
Experiences: Accenture (Senior Manager, North America Legal and Contract Management): | Accenture (Manager, North America Legal Services & Contract Management): • Global team lead of contracts professionals who leverage contract strategies for  Multi-Billion dollar Private Equity Practice. Provide Client Centric approach to contracting and negotiations, pre/post proposal and contract guidance to the program and business development teams while managing internal platforms, policies, and procedures necessary to support effective and compliance contract management activities.  • Coach executives on the global negotiation strategy for a select deals to derive mutually beneficial outcomes or disputes. Exercise a high level of judgement regarding strategy, departmental and organizational policies, procedures, tools, and best practices and routinely make decisions that have an organizational structure and impact.   • Set direction and define operating principles, commercial structure, practices, risks and any unusual terms to the organization to provide the contractual support, ensure all contractual/commercial risk items are understood and minimized while developing and maintaining strong working relationships with internal and external stakeholders, most importantly customer representatives.  • Ensure team resources are allocated appropriately and ensure staff receives appropriate development and support, and that contracting activities are carried out consistently. Prepare and disseminate information regarding contract or negotiation status, compliance, modifications, staffing, budgets, etc.  • Establish and manage relationships with Leadership, Departmental and Legal counterparts.  • Work with both internal and external stakeholders to execute the negotiation strategies.  • Responsible for ensuring global compliance to all requirements and inputs from legal, commercial and corporate transaction services teams in all deal negotiations | Consultant (Consultant): • Performed quantitative and qualitative analysis to evaluate and diagnose business and management decisions across public, government, and private sectors. Recommended near-term and long-term solutions based on evaluation results. Implemented solutions to improve business efficiency, performance, cost control, and professionalization of employee base. Conducted one-on-one and group interviews with all levels of client business employee base to obtain accurate pictures of current business management change requirements.  • Provided multi-faceted tier progression risk modules for a diversified portfolio of companies, projects, and groups. | Defense Supply Center Columbus (Sr. Contract Specialist): • Developed and issued solicitations for large, small, micro-purchases, simplified acquisitions, urgent and compelling requirements. Received and evaluated offers, consulted with key stakeholders regarding administrative functions needed to: draft, review, coordinate and process various micro and/or simplified requirements. Analyzed requirements for procurements and recommend to management the appropriate method of handling. Prepared Request for Quotes (RFQ’s), Request for Proposals (RFP’s); forwarded solicitation package(s) to prospective bidders or offerors; served as the primary point of contact for bid and contract award inquiries and issue amendments to bid solicitations.  • Conducted informal bid openings; performed detailed analysis of bids to determine responsiveness to the solicitation by comparing bidder’s responsiveness to specifications; review historical pricing, and independent Government estimates, contractor performance history (CPH) and other factors; recommend award to the lowest/most responsive bidder, including any appropriate justifications. Suggested pre-award surveys and detailed price analysis/should cost, as appropriate.   • Coordinated with appropriate representatives to provide complex pre/post award management including drafting the following: contract awards, extensions, stop work requests, protests, price change requests, technical assistance requests and other pre-post award functions needed.   • Maintained an In-depth knowledge of Federal Acquisition Regulations (“ DFARS, DLAD, DSCC Acquisition Guide’) and statutory laws applicable to the overall acquisition process including contracts awarded and the interrelationship of supplementary departmental policies, procedures, and precedents resulting from case law or General Accounting Office/Armed Service Board of Contract Appeals decisions.   • Assisted with the training of newly assigned and existing personnel. | Dun & Bradstreet (Consultant, Sales and Marketing Solutions): • Promoted the strategic growth of D&B, responsible for achieving sales growth through increasing usage, customer retention and satisfaction. Provided Business Intelligence, Database derivatives and product solutions to D&B’s Clients. Consulted in the area of customer information management, data integration of CRM and ERP solutions, project management, research, IT, Systems, sales force automation, customer service, performance, call centers, Siebel, Oracle, PeopleSoft, and SAP.   • Established relationships with CEO/CIO/CFO’s and departmental managers. Performed all facets of marketing, consultative selling, proposal/contract management and negotiations.   • Assisted Clients with their Information Systems (IS), Sales Force automation technology planning, and acquisition strategy planning.  • Finished fourth quarter 2003 at 170% of quota. | AIMUS, Resource Management Consulting Group (President): • Designed and implemented new startup company from concept – overseeing all strategic planning, marketing and project performance functions to a successful business enterprise and industry leader generating multi-million growth year over year and improved profitability by accurately maintaining P&L.  • Developed business opportunities and strategic alliances. Strategized and implemented plans to provided alternative forms of Human Resource Management Consulting, Outsourcing (IT and general business), and Staffing Arrangements.  • Recruited and retained quality executive sales/project teams. Created and implemented a comprehensive employee satisfaction program and benefits package.  • Successfully created and implements innovative marketing campaigns to increase by 305% per year for 1996, ‘97 &’ 98. Company ranked 24th out of 160 competing companies in total hours billed in 1998. Strategic Market Award recipient.   • Provided organizational leadership and collaborated with executed partners to establish long term goals, strategies, and objectives.    • Managed and oversaw leadership team to meet established KPI’s and achieve objectives and key results. | IBM Global Process Services (Systems Integration/Marketing Specialist/ Sr Contracts Manager): • Act as primary contact between account project team, finance, legal and/or business units with IBM and client contracting officials, subcontractors, to ensure all legal and contractual matters are addressed efficiently and promptly. The responsibilities are singular to that of those performed with IBM. However, this role included a Marketing and Sales Consulting. Provided integrated solutions that included IS hardware, software and business consulting services, project management, application development & systems programming, outsourcing/staff augmentation, offshore development, business process redesign, networking, requirements analysis, data center moves/migrations, E-Commerce/B2B and ERP/CRM systems.  • Managed contract negotiations for large scale enterprise systems integrations and implementation of complex engagements.  • Led project management, contracts and marketing teams during the RFP analysis process, proposal development, cost/price analysis, terms and conditions, contract negotiations/performance/close-out, of several major defense programs in the U.S. and Internationally including a $750 Million dollar systems integration solution.   • Provided advice and counsel to key personnel concerning subcontractor proposals, pricing and should-cost scenarios, TCO’s, bills of materials, scrap factors, production planning, purchase/materials requisitions, statutory/regulatory (FAR and the State Revised Code). Developed the uniform proposal process for proposal > $100K used by IBM's Owego facility. Grew a new territory to $34 Million annually in five years. Exceeded quota objectives and participated in 100% Clubs in 1987, ‘88, ‘91, ‘92 & ‘93, and a Marketing Excellence Award in 1992. Received a Trading Area General Manager’s Award for negotiating the largest Systems Integration Contract. || Certifications: || Education: Information Technology Project Management – Master of Arts (M.A.) @ Capella University | Business Administration and Management, General – Bachelor of Arts (B.A.) @ Park University || Summary: Entrepreneurial executive with extensive experience in management and non-management with success delivering business growth, supporting cross-functional and global projects to commercial and government sector clients, leading organization transformation, developing and retaining highly motivated teams, developing business application and processes, and improving operations. Dynamic, results-oriented leader with a strong track record of performance in turnaround and high-paced organizations. Utilize keen analysis and insights and team approach to drive organizational improvements and implementation of best practices. Superior interpersonal skills, capable of resolving multiple and complex (business, sales, human resources, legal, financial, operational) issues.     Adept in coaching executives on global negotiation business strategies, my expertise lies in developing policies and procedures that enhance efficiency and performance. By leading organizational transformation and team development, we facilitate cross-functional and global project success, underpinned by a robust understanding of business leadership and customer relationship management.	#REF!
