Company Name,Founded,Country,Total Staff (LinkedIn),"Individual Estimates [broad+strict, strict, broad, claude, gpt5, gemini]",ML Talent q50 (q10 - q90),ML % of Total,Category
Google DeepMind,1970,Unknown,6 500,"[801, 1100, 1900, 1285, 1330, 1803]",237 (166 - 414),3.65% (2.55% - 6.38%),Probable
OpenAI ,1970,Unknown,6 500,"[175, 391, 671, 397, 454, 845]",96 (61 - 173),1.48% (0.94% - 2.66%),Probable
Amazon,1970,Unknown,540 000,"[1600, 6700, 11000, -, -, -]",89 (12 - 308) *,0.02% (0.00% - 0.06%),Probable
Hugging Face,1970,Unknown,603,"[14, 48, 91, 67, 78, 114]",46 (27 - 80),7.63% (4.48% - 13.27%),Probable
Cohere,1970,Unknown,810,"[42, 73, 183, -, -, -]",43 (20 - 76) *,5.33% (2.47% - 9.38%),Probable
xAI,1970,Unknown,3 000,"[42, 83, 177, 69, 84, 223]",31 (17 - 59),1.03% (0.57% - 1.97%),Probable
Mistral AI,1970,Unknown,440,"[32, 52, 80, 61, 73, 100]",27 (12 - 57),6.14% (2.73% - 12.95%),Probable
Meta,1970,Unknown,70 000,"[2100, 4200, 8800, -, -, -]",27 (3 - 105) *,0.04% (0.00% - 0.15%),Probable
Microsoft,1970,Unknown,22 000,"[1200, 4500, 8200, -, -, -]",26 (3 - 123) *,0.12% (0.01% - 0.56%),Probable
AI2,1970,Unknown,313,"[40, 52, 103, 72, 80, 106]",24 (9 - 48),7.67% (2.88% - 15.34%),Probable
NVIDIA,1970,Unknown,43 000,"[974, 2500, 3500, -, -, -]",15 (1 - 60) *,0.04% (0.00% - 0.14%),Probable
Perplexity AI,1970,Unknown,1 000,"[7, 25, 135, 14, 18, 64]",13 (6 - 23),1.30% (0.60% - 2.30%),Probable
Anthropic,1970,Unknown,2 000,"[76, 140, 276, -, -, -]",9 (1 - 26) *,0.48% (0.08% - 1.32%),Probable
Midjourney,1970,Unknown,171,"[7, 15, 16, 11, 13, 20]",8 (3 - 15),4.68% (1.75% - 8.77%),Probable
Character.AI,1970,Unknown,207,"[3, 9, 20, 9, 10, 25]",7 (3 - 13),3.38% (1.45% - 6.28%),Probable
AI21 Labs,1970,Unknown,250,"[8, 24, 17, 17, 23, 38]",6 (2 - 14),2.40% (0.80% - 5.60%),Probable
Baidu Research (Baidu USA),1970,Unknown,238,"[3, 7, 14, 6, 12, 26]",5 (1 - 11),2.10% (0.42% - 4.62%),Probable
LawZero,1970,Unknown,11,"[1, 2, 4, 4, 5, 5]",2 (0 - 5),18.18% (0.00% - 45.45%),Possible
Thinking Machines Lab,1970,Unknown,67,"[12, 15, 22, -, -, -]",0 (0 - 0) *,0.00% (0.00% - 0.00%),Not Detected
Mila-Quebec Artificial Intelligence Institute,1970,Unknown,872,"[130, 163, 424, -, -, -]",0 (0 - 0) *,0.00% (0.00% - 0.00%),Not Detected
