Company Name,Founded,Country,Total Staff (LinkedIn),"Individual Estimates [broad+strict, strict, broad, claude, gpt5, gemini]",ML Talent q50 (q10 - q90),ML % of Total,Category
Burberry,1970,Unknown,8 500,"[0, 2, 5, 1, 1, 2]",1 (0 - 3),0.01% (0.00% - 0.04%),Possible
Sherwin-Williams,1970,Unknown,44 000,"[2, 29, 28, 1, 2, 6]",1 (0 - 3),0.00% (0.00% - 0.01%),Possible
The Coca-Cola Company,1970,Unknown,60 000,"[2, 31, 68, 3, 9, 30]",1 (0 - 5),0.00% (0.00% - 0.01%),Possible
The North Face,1970,Unknown,4 500,"[0, 0, 2, 0, 0, 0]",0 (0 - 0),0.00% (0.00% - 0.00%),Not Detected
Desigual,1970,Unknown,2 500,"[0, 0, 0, 0, 0, 1]",0 (0 - 0),0.00% (0.00% - 0.00%),Not Detected
Jotun,1970,Unknown,6 000,"[0, 1, 5, 0, 0, 2]",0 (0 - 0),0.00% (0.00% - 0.00%),Not Detected
Sierra Nevada Brewing Co.,1970,Unknown,769,"[0, 0, 0, 0, 0, 0]",0 (0 - 0),0.00% (0.00% - 0.00%),Not Detected
Penguin Random House,1970,Unknown,8 000,"[1, 9, 18, 2, 2, 7]",0 (0 - 2),0.00% (0.00% - 0.03%),Non-zero
HarperCollins Publishers,1970,Unknown,4 000,"[0, 8, 7, 0, 0, 1]",0 (0 - 2),0.00% (0.00% - 0.05%),Non-zero
Patagonia,1970,Unknown,3 500,"[0, 1, 0, 0, 0, 0]",0 (0 - 0),0.00% (0.00% - 0.00%),Not Detected
"Crocs, Inc.",1970,Unknown,5 500,"[0, 1, 3, 0, 0, 0]",0 (0 - 0),0.00% (0.00% - 0.00%),Not Detected
The British Museum,1970,Unknown,1 000,"[0, 1, 0, 0, 0, 0]",0 (0 - 0),0.00% (0.00% - 0.00%),Not Detected
Museo Nacional del Prado,1970,Unknown,296,"[0, 0, 0, 0, 0, 0]",0 (0 - 0),0.00% (0.00% - 0.00%),Not Detected
London Symphony Orchestra,1970,Unknown,232,"[0, 0, 0, 0, 0, 0]",0 (0 - 0),0.00% (0.00% - 0.00%),Not Detected
New York Philharmonic,1970,Unknown,288,"[0, 0, 0, 0, 0, 0]",0 (0 - 0),0.00% (0.00% - 0.00%),Not Detected
Hydro Flask,1970,Unknown,135,"[0, 1, 0, 0, 0, 0]",0 (0 - 0),0.00% (0.00% - 0.00%),Not Detected
YETI,1970,Unknown,2 000,"[0, 0, 5, 1, 0, 1]",0 (0 - 0),0.00% (0.00% - 0.00%),Not Detected
LVMH,1970,Unknown,7 000,"[0, 2, 17, 1, 5, 12]",0 (0 - 0),0.00% (0.00% - 0.00%),Not Detected
