id,organization_name,Claude Rating,Combined,MAX Human rating Fit yes / no,RED Human rating Fit yes / no,Comments,Description,Full Description,Organization Category,Source,Organization Name URL,Stage,Industries,headquarters_location,CB Rank (Company),Headquarters Regions,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,linkedin_id,ID_copy,Facebook,Twitter,Website,Phone Number,Contact Email,IT Spend,IT Spend Currency,IT Spend (in USD),Trademarks Registered,Patents Granted,Average Visits (6 months),Monthly Visits,Similar Companies,IPO Status,IPO Date,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Acquisition Type,Number of Acquisitions,Acquisition Status,Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Funding Rounds,Funding Status,Number of Employees,Number of Founders,Founders,Industry Groups,Operating Status,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Exits (IPO),Number of Exits,Number of Diversity Investments,Number of Lead Investments,filter_broad_yes,filter_strict_no,filter_broad_yes_strict_no,filter_non_english_keywords_CV,total_headcount,claude_total_employees,claude_total_rejected,claude_total_accepted,gpt5_total_employees,gpt5_total_rejected,gpt5_total_accepted,gemini_total_employees,gemini_total_rejected,gemini_total_accepted,stage_reached,category,max_headcount,max_population,Headquarters Location,Total Headcount,Organization Name,Stage Reached,Founded Date,country,subregion,ml_share,ml_share_lower80,ml_share_upper80,mean,q10,q50,q90,synthetic_mean,synthetic_q10,synthetic_q50,synthetic_q90,adjusted_synthetic_mean,adjusted_synthetic_q10,adjusted_synthetic_q50,adjusted_synthetic_q90,synthetic_adjustment_factor,headcount_ratio,headcount_mismatch,use_synthetic_probit,Country,Subregion,ml_estimate,ml_share_calc
2500,Hcube Conseil,"1.4

This company is best categorized as a ML Consultancy (category 1) with a strong fit (score 4). The description clearly indicates they provide digitalization services with specific expertise in Data Science and Artificial Intelligence, which aligns with providing ML solutions. The consulting nature of the business is explicitly mentioned (""HCube Consulting"", ""Consulting"" listed in industries), and they position themselves as offering solutions in these technical domains. While they appear to be a strong fit for category 1, I didn't give a perfect score of 5 since the description doesn't specifically mention machine learning, deep learning, or reinforcement learning by name, though AI services generally encompass these areas.",1,1.0,,,Hcube Conseil is a digitalization agency.,"HCube Consulting supports in digitalization projects to understand the world of tomorrow.Digital, Data Science, Artificial Intelligence or Industrial Computing, as many areas of expertise as solutions.",,crunchbase search,https://www.crunchbase.com/organization/hcube-conseil,,"Artificial Intelligence (AI), Consulting, Database, Innovation Management","Domaine Du Keroulis, Ain Temouchent, Algeria",1961753.0,"Middle East and North Africa (MENA), North Africa, Europe, Middle East, and Africa (EMEA)",day,,,,,For Profit,hcube-conseil,2500,https://www.facebook.com/HCubeConseilFR/,https://twitter.com/hcube_conseil,https://www.hcube-conseil.fr,#ERROR!,contact@hcube-conseil.fr,,,,,,,,4.0,Private,,,,,,,,,,,,,,,,51-100,,,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",Active,,,,,,,,,0.0,0.0,0.0,21,140,22.0,22.0,0.0,22.0,22.0,0.0,22.0,22.0,0.0,,,True,False,"Domaine Du Keroulis, Ain Temouchent, Algeria",140,Hcube Conseil,,2018-02-20 00:00:00,Unknown,Unknown,0.0,0.0,0.0,0.630859375,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2499297160528535,6.363636363636363,True,True,Algeria,Northern Africa,0.0,0.0
286,INT,3.5 (Other.Strong fit),1,,1,,"From technology management to web design and accounting to cyber security, our innovative solutions address a variety of business needs.","INT is headquartered in Lincolnshire, IL with a diverse and talented team of professionals located across the country. From technology management to web design and accounting to cyber security, our innovative solutions address a variety of business needs. Our success comes from listening to our customers’ unique challenges and needs, developing effective strategies, and implementing innovative solutions.",,arxiv affiliation meta-data,https://www.crunchbase.com/organization/int,,"Cyber Security, Information Technology, Network Security, SEO, Web Development","Lincolnshire, Illinois, United States",242191.0,"Greater Chicago Area, Great Lakes, Midwestern US",day,,,,,For Profit,intinc,286,https://www.facebook.com/intinc,https://twitter.com/INTDesign,https://intinc.com/,847-215-4900,information@intinc.com,549982.0,USD,549982.0,,,,120.0,6.0,Private,,,,,,,,,,,,,,,,11-50,1.0,William Thomas,"Information Technology, Internet Services, Privacy and Security, Sales and Marketing, Software",Active,,,,,,,,,0.0,0.0,0.0,7700,140,43.0,43.0,0.0,43.0,43.0,0.0,43.0,43.0,0.0,,,True,False,"Lincolnshire, Illinois, United States",140,INT,,1999-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,0.7080078125,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2499297160528535,3.255813953488372,True,True,United States,Northern America,0.0,0.0
1896,Dragonfly,1.4 (ML Consultancy.Strong fit),1,1.0,,,"Dragonfly offers people, AI, consulting, and engineering services in the financial, healthcare, and retail sector.","Dragonfly offers people, AI, consulting, and engineering services in the financial, healthcare, and retail sector.",,crunchbase search,https://www.crunchbase.com/organization/dragonfly-c308,,"Artificial Intelligence (AI), Consulting, Information Technology, Software, Training","London, England, United Kingdom",203578.0,"Europe, Middle East, and Africa (EMEA)",year,2024-10-10,day,,,For Profit,wearedragonfly,1896,https://www.facebook.com/profile.php?id=100067727185493,https://twitter.com/wearedragonfly_,https://www.wearedragonfly.co,#ERROR!,,,,,,,,,28.0,Private,,Dragonfly acquired by Colehouse Group,https://www.crunchbase.com/acquisition/colehouse-group-acquires-dragonfly-c308--33ac4e16,Colehouse Group,https://www.crunchbase.com/organization/colehouse-group,2024-10-10,day,Acquisition,,Was Acquired,,,,,M&A,11-50,,,"Artificial Intelligence (AI), Data and Analytics, Education, Information Technology, Professional Services, Science and Engineering, Software",Active,,,,,,,,,0.0,0.0,0.0,28,134,6.0,6.0,0.0,6.0,6.0,0.0,6.0,6.0,0.0,,,True,False,"London, England, United Kingdom",134,Dragonfly,,2018-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,0.6416015625,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2499297160528535,22.333333333333332,True,True,United Kingdom,Northern Europe,0.0,0.0
1919,Intelliarts,"1.5 (ML Consultancy, Perfect fit)

The description clearly identifies Intelliarts as a technology consulting company that focuses specifically on ""building full-cycle data-driven and ML-powered solutions."" They explicitly mention machine learning as a core service offering, helping partners with digital transformation through ML technologies. Their positioning as a technology consulting firm that specializes in ML solutions makes them a perfect fit for category 1 (ML Consultancy).",1,1.0,,,Intelliarts is a Eastern European IT services company that creates value by reinforcing companies with innovations.,"Intelliarts is a provider of technology consulting and software engineering services. Focusing on building full-cycle data-driven and ML-powered solutions, we help our partners with digital transformation, innovation, and expansion of engineering capabilities. Company facts: - founded in 1999 - 75+ projects completed, 14 in progress - 4+ years of average partnership on one project - 85% of customers that switch their organizations get back to us with new projects - 4 years of median employee tenure",,crunchbase search,https://www.crunchbase.com/organization/intelliarts,,"Consulting, Information Technology, Software","Lviv, L'vivs'ka Oblast', Ukraine",245777.0,"Europe, Middle East, and Africa (EMEA)",year,,,,,For Profit,intelliarts,1919,https://www.facebook.com/Intelliarts/,,https://intelliarts.com/,,info@intelliarts.com,,,,,,,,9.0,Private,,,,,,,,,,,,,,,,101-250,,,"Information Technology, Professional Services, Software",Active,,,,,,,,,1.0,0.0,0.0,2,113,96.0,96.0,0.0,96.0,96.0,0.0,94.0,94.0,0.0,,,True,False,"Lviv, L'vivs'ka Oblast', Ukraine",113,Intelliarts,,1999-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,0.5390625,0.0,0.0,2.0,1.23046875,0.0,1.0,3.0,0.9844303517206476,0.0,0.8000449842555106,2.400134952766532,1.2499297160528535,1.1770833333333333,False,False,Ukraine,Eastern Europe,0.0,0.0
2327,InfoPower,1.4 (ML Consultancy.Strong fit),1,1.0,,,"InfoPower offers digital transformation, AI, and big data solutions for businesses.","InfoPower specializes in providing businesses with solutions for precision marketing, big data analysis, AI, and digital transformation. The company focuses on driving digital innovation and transformation within the IT sector.",,crunchbase search,https://www.crunchbase.com/organization/infopower-c38a,,"Artificial Intelligence (AI), Consulting, Hardware, Information Technology, Software","Taipei, T'ai-pei, Taiwan",1247064.0,Asia-Pacific (APAC),year,,,,,For Profit,infopower-corporation,2327,,,https://infopower.com.tw,#ERROR!,,,,,,,,,,Private,,,,,,,,,,,,,,,,11-50,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Professional Services, Science and Engineering, Software",Active,,,,,,,,,0.0,0.0,0.0,22,112,14.0,14.0,0.0,14.0,14.0,0.0,14.0,14.0,0.0,,,True,False,"Taipei, T'ai-pei, Taiwan",112,InfoPower,,1995-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,0.5703125,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2499297160528535,8.0,True,True,Taiwan,Eastern Asia,0.0,0.0
2298,Dextra,1.3 (ML Consultancy.Moderate fit),1,1.0,,,"Dextra is an expert in combining design methodologies, agile development and data science to deliver digital products.","Dextra is a pioneer in digital evolution thinking. We develop customized products, combining design methodologies, agile development and new technologies to deliver solutions that drive our customers' business.",,crunchbase search,https://www.crunchbase.com/organization/dextra-sistemas,,"Consulting, Machine Learning, Software","Campíns, Catalonia, Spain",1141375.0,"European Union (EU), Europe, Middle East, and Africa (EMEA)",year,2021-07-01,day,,,For Profit,dextra-digital,2298,https://www.facebook.com/dextrasis,https://twitter.com/DextraSistemas,http://www.dextra.com.br,#ERROR!,contato@dextra.com.br,,,,,,,,3.0,Private,,Dextra acquired by CI&T,https://www.crunchbase.com/acquisition/ci-t-acquires-dextra-sistemas--c303ba22,CI&T,https://www.crunchbase.com/organization/ci-t,2021-07-01,day,Acquisition,,Was Acquired,,,,,M&A,51-100,,,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Software",Active,,,,,,,,,0.0,1.0,0.0,39,109,31.0,31.0,0.0,31.0,31.0,0.0,31.0,31.0,0.0,,,True,False,"Campíns, Catalonia, Spain",109,Dextra,,1995-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,0.52734375,0.0,0.0,2.0,1.4140625,0.0,1.0,3.0,1.131313610548808,0.0,0.8000449842555106,2.400134952766532,1.2499297160528535,3.5161290322580645,True,True,Spain,Southern Europe,0.0,0.0
2199,STME,"3.4 (Other.Strong fit)

The description clearly indicates STME Limited is an IT solutions provider offering a range of enterprise IT services and technologies. While they mention ""Artificial Intelligence"" in their categories, there is no specific evidence they focus on ML consulting services (category 1) or conduct fundamental AI research (category 2). They appear to be a general IT solutions company that may include some AI components among their broader service offerings, making category 3 (Other) the appropriate classification with a strong fit (4).",1,,1,,STME is an information technology company.,"STME Limited is the leading provider of advanced enterprise IT solutions in the Middle East. STME has swiftly expanded its operations all over the Middle East and now provides world-class IT services. Initially offering groundbreaking IT storage solutions to various enterprises, STME has evolved to deliver a much wider range of IT solutions to various company profiles, providing industry-leading services and technologies.",,crunchbase search,https://www.crunchbase.com/organization/stme,,"Consulting, Information Technology, Intelligent Systems, Service Industry","Riyadh, Ar Riyad, Saudi Arabia",830991.0,"Europe, Middle East, and Africa (EMEA), Gulf Cooperation Council (GCC), Middle East",year,,,,,For Profit,stme,2199,https://www.facebook.com/STMELtd,https://twitter.com/STMELtd,https://stme.com,96 611-293-8884,salesriyadh@stme.com,,,,,,,,14.0,Private,,,,,,,,,,,,,,,,101-250,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Other, Professional Services, Science and Engineering",Active,,,,,,,,,0.0,0.0,0.0,11,109,80.0,80.0,0.0,79.0,79.0,0.0,79.0,79.0,0.0,,,True,False,"Riyadh, Ar Riyad, Saudi Arabia",109,STME,,1982-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,0.525390625,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2499297160528535,1.3625,False,False,Saudi Arabia,Western Asia,0.0,0.0
2766,Probe Group,"1.3

The description indicates Probe Group is a company that provides conversational AI and analytics services as part of their broader customer experience offerings. While they do work with AI technologies, particularly in the customer interaction space, they appear to be a service provider that uses AI as part of their solution set rather than a dedicated ML consultancy. Their focus seems to be on customer experience with AI as one component, rather than specialized ML/DL/RL consulting as their primary business. Therefore, category 1 (ML Consultancy) is the closest fit, but with a moderate confidence score of 3.",1,1.0,,,"Probe Group offers CX strategy, analytics, AI, outsourcing, and digital solutions in the software industry.","Probe Group is a software and services company specializing in customer experience (CX) strategy, conversational AI, real-time speech analytics, digital transformation, and outsourcing solutions. Operating across five distinct brands, the company offers cross-industry and cross-technology career opportunities, supporting a wide range of client needs in customer engagement and operational efficiency. With a strong commitment to diversity, inclusion, and ethical conduct, Probe Group employs a large, multidisciplinary team dedicated to improving customer interactions through innovative technologies and tailored strategies. The company also emphasizes transparency and integrity, encouraging the reporting of misconduct and maintaining high ethical standards throughout its operations.",,crunchbase search,https://www.crunchbase.com/organization/probe-group-a1b5,,"Artificial Intelligence (AI), Chatbot, Outsourcing, Software","Melbourne, Victoria, Australia",3690155.0,"Asia-Pacific (APAC), Australasia",year,,,,,For Profit,theprobegroup,2766,https://www.facebook.com/ProbeCXPhilippines/,,https://www.probe.group,#ERROR!,enquiries@theprobegroup.com.au,,,,,,,,,Private,,,,,,,,,,,,,,,,10001,,,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",Active,,,,,,,,,0.0,0.0,0.0,21,107,53.0,53.0,0.0,53.0,53.0,0.0,53.0,53.0,0.0,,,True,False,"Melbourne, Victoria, Australia",107,Probe Group,,1979-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,0.484375,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2499297160528535,2.018867924528302,False,False,Australia,Australia and New Zealand,0.0,0.0
1985,GOX,"3.4 (Other.Strong fit)

This company appears to be primarily an IT strategy, project management, and outsourcing consultancy that offers various business services. While they mention artificial intelligence as one of their service areas, it's listed alongside many other IT and management consulting offerings rather than being their primary focus. They don't appear to be specialized in ML consulting or conducting pure AI research, making category 3 (Other) the appropriate classification with a strong fit.",1,,1,,"GOX is an IT strategy, RPA, and outsourcing consultancy.","GOX helps organizations of any size rationalize their project portfolio, implement PMO processes, or simply enhance business analysis and project management capabilities. Besides outsourcing consulting, they can assist with digital transformation, selection of ERP systems, setting up a PMO, artificial intelligence, and testing.",,crunchbase search,https://www.crunchbase.com/organization/gox-0572,,"Consulting, Outsourcing, Project Management","London, England, United Kingdom",350096.0,"Europe, Middle East, and Africa (EMEA)",year,,,,,For Profit,gox-ltd,1985,,https://twitter.com/goxglobal,https://goxglobal.com,#ERROR!,enquiries@goxglobal.com,,,,,,,,11.0,Private,,,,,,,,,,,,,,,,11-50,,,"Administrative Services, Other, Professional Services",Active,,,,,,,,,0.0,0.0,0.0,54,103,5.0,5.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,,,True,False,"London, England, United Kingdom",103,GOX,,2006-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,0.4970703125,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2499297160528535,20.6,True,True,United Kingdom,Northern Europe,0.0,0.0
56,MojoTech,3.4 (Other - Strong fit),1,,1,,Software Development & Design for Innovative Companies,"MojoTech is an innovative software development company that integrates strategy, engineering, and design to create results-driven digital products and experiences. We've written the playbook for how to discover, define, design, and build tomorrow’s innovations, empowering companies to unlock future market potential, maximize returns on innovation, and drive transformational change. Strategy Acceleration: MojoTech's strategic technology acceleration transforms business insights into rapid implementation, swiftly creating value. We assemble dedicated teams with vast experience to drive every project toward impactful disruption, enabling companies to achieve innovation, market relevance, and customer satisfaction. Return on Innovation: Our 100% US-based software engineers de-risk your initiatives by leveraging their expertise in industry best practices and cutting-edge technologies. MojoTech's practical innovation ensures your project is executed with precision, efficiency, and foresight, leading to outcomes that exceed expectations. Outcome-Driven Design: MojoTech designers boast extensive experience creating impactful business outcomes for marketplaces, apps, and dashboards. Our comprehensive design strategy ensures that each interaction is valuable, from user onboarding to intuitive user journeys, enhancing user satisfaction and fostering continued engagement. Transformational Collaboration: Our embedded approach enhances skills, introduces essential workflows, and doubles your internal teams' productivity. We lead cross-functional groups - from business strategy to product management and engineering - to minimize managerial overhead and boost core capabilities for long-term success. Let's Talk Software!",,Manual Search + Network,https://www.crunchbase.com/organization/mojotech,,"Artificial Intelligence (AI), Information Technology, Machine Learning, Mobile Apps, Product Design, Software Engineering","Providence, Rhode Island, United States",231481.0,"East Coast, New England, Northeastern US",year,,,,,For Profit,mojotech,56,https://www.facebook.com/mojotech,https://twitter.com/mojotech/,https://www.mojotech.com/,8556656832,hello@mojotech.com,1191164.0,USD,1191164.0,2.0,0.0,,3733.0,10.0,Private,,,,,,,,,1.0,Made Acquisitions,"Stone-Goff Partners, Northwood Ventures",,2.0,1.0,Private Equity,51-100,1.0,Nick Kishfy,"Apps, Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Mobile, Science and Engineering, Software",Active,,,,,,,,,1.0,0.0,0.0,17,80,71.0,71.0,0.0,71.0,71.0,0.0,71.0,71.0,0.0,,,True,False,"Providence, Rhode Island, United States",80,MojoTech,,2008-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,0.787109375,0.0,0.0,2.0,1.697265625,0.0,1.0,4.0,1.3578888502305444,0.0,0.8000449842555106,3.2001799370220425,1.2499297160528535,1.1267605633802815,False,False,United States,Northern America,0.0,0.0
