id,organization_name,Claude Rating,Combined,MAX Human rating Fit yes / no,RED Human rating Fit yes / no,Comments,Description,Full Description,Organization Category,Source,Organization Name URL,Stage,Industries,headquarters_location,CB Rank (Company),Headquarters Regions,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,linkedin_id,ID_copy,Facebook,Twitter,Website,Phone Number,Contact Email,IT Spend,IT Spend Currency,IT Spend (in USD),Trademarks Registered,Patents Granted,Average Visits (6 months),Monthly Visits,Similar Companies,IPO Status,IPO Date,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Acquisition Type,Number of Acquisitions,Acquisition Status,Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Funding Rounds,Funding Status,Number of Employees,Number of Founders,Founders,Industry Groups,Operating Status,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Exits (IPO),Number of Exits,Number of Diversity Investments,Number of Lead Investments,filter_broad_yes,filter_strict_no,filter_broad_yes_strict_no,filter_non_english_keywords_CV,total_headcount,claude_total_employees,claude_total_rejected,claude_total_accepted,gpt5_total_employees,gpt5_total_rejected,gpt5_total_accepted,gemini_total_employees,gemini_total_rejected,gemini_total_accepted,stage_reached,category,max_headcount,max_population,Headquarters Location,Total Headcount,Organization Name,Stage Reached,Founded Date,country,subregion,ml_share,ml_share_lower80,ml_share_upper80,mean,q10,q50,q90,synthetic_mean,synthetic_q10,synthetic_q50,synthetic_q90,adjusted_synthetic_mean,adjusted_synthetic_q10,adjusted_synthetic_q50,adjusted_synthetic_q90,synthetic_adjustment_factor,headcount_ratio,headcount_mismatch,use_synthetic_probit,Country,Subregion,ml_estimate,ml_share_calc
539,Physics,3.5 (Other.Strong fit),1,,1,,Physics is a software development company that offers services to support cloud service providers and developers with resources.,,,arxiv affiliation meta-data,https://www.crunchbase.com/organization/physics,,"Cloud Computing, Infrastructure, Software, Technical Support","Brussels, Brussels Hoofdstedelijk Gewest, Belgium",1725816.0,"European Union (EU), Europe, Middle East, and Africa (EMEA)",month,,,,,For Profit,physicsh2020,539,,https://twitter.com/H2020Physics,https://physics-faas.eu/#,,,,,,,,,,14.0,Private,,,,,,,,,,,,,,,,11-50,,,"Information Technology, Internet Services, Other, Software",Active,,,,,,,,,0.0,0.0,0.0,12000,47000,,,,,,,,,,,,True,False,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",47000,Physics,,2021-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2499297160528535,,True,True,Belgium,Western Europe,0.0,0.0
30,PricewaterhouseCoopers,"3.5 (Other.Strong fit)

PwC is primarily an accounting and professional services firm that offers a broad range of business services including audit, tax, HR, and consulting. While they may incorporate some AI/ML elements in their consulting work, their core business is not focused on ML consultancy or pure AI research. Their description clearly indicates they are a traditional professional services firm that spans multiple business domains, making them a strong fit for the ""Other"" category.",1,,1,,"PricewaterhouseCoopers is an accounting firm that provides tax, HR, transactions, performance improvement, and crisis management services.","PricewaterhouseCoopers (PwC) is an accounting firm that provides assurance, audit, tax, human resources, transactional, performance improvement, and crisis management services. It serves sectors such as aerospace and defense, healthcare, hospitality and leisure, industrial manufacturing, real estate, retail and consumer, technology, transportation and logistics, financial services, entertainment and media, chemicals, metals, banking and capital markets, automotive, private equity, and more.",,Manual Search + Network,https://www.crunchbase.com/organization/pwc,,"Accounting, Business Development, Consulting, Finance, Financial Services, Tax Consulting","London, England, United Kingdom",48838.0,"Europe, Middle East, and Africa (EMEA)",year,,,,,For Profit,pwc,30,http://www.facebook.com/execpress,http://twitter.com/PwC_LLP,http://pwc.com,[⚠ Claude for Sheets™ RECALCULATING ⚠] =+1 646-471-4000,,3134680786.0,USD,3134680786.0,5.0,0.0,5573490.83,4195575.0,18.0,Private,,,,,,,,,24.0,Made Acquisitions,Apparel Impact Institute,1.0,1.0,1.0,,10001,4.0,"Adnan Zaheer, Jonathan Kogan, Martin Prescher, Samuel Lowell Price","Financial Services, Professional Services",Active,,,16.0,16.0,,,1.0,5.0,0.0,0.0,0.0,7400,5100,,,,,,,,,,,,True,False,"London, England, United Kingdom",5100,PricewaterhouseCoopers,,1998-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2499297160528535,,True,True,United Kingdom,Northern Europe,0.0,0.0
515,Lucent Technologies,"3.5 (Other.Strong fit)

The description indicates Lucent Technologies is an IT consulting firm providing business solutions with focus on business development, management consulting, and technical support. While they might incorporate some technology solutions, there's no specific mention of machine learning or AI services in the description. This makes them clearly not a Pure AI Research organization (category 2) and there's no evidence they specifically focus on ML consulting (category 1), placing them firmly in the ""Other"" category with strong confidence.",1,,1,,Lucent Technologies is an IT consulting firm that provides a systematic approach to business solutions.,,,arxiv affiliation meta-data,https://www.crunchbase.com/organization/lucent-technologies-529e,,"Business Development, Management Consulting, Technical Support","Reston, Virginia, United States",1308564.0,"Washington DC Metro Area, East Coast, Southern US",,,,,,For Profit,515,515,,,https://lucenttek.com,,info@Lucenttek.com,359324.0,USD,359324.0,,,,116.0,11.0,Private,,,,,,,,,,,,,,,,11-50,,,"Information Technology, Other, Professional Services",Active,,,,,,,,,0.0,0.0,0.0,96,1000,,,,,,,,,,,,True,False,"Reston, Virginia, United States",1000,Lucent Technologies,,,Unknown,Unknown,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2499297160528535,,True,True,United States,Northern America,0.0,0.0
1965,Metric,1.5 (ML Consultancy.Perfect fit),1,,1,,"Metric is a leading Enterprise AI solution provider with focus in NLP, Data Science and Generative AI models.","Metric is a leading Enterprise AI solution provider. From startups to Fortune 100 companies we help to uncover their hidden potential and achieve more with our deep expertise in Machine Learning, Data Analytics, Deep Learning, NLP and Computer vision.",,crunchbase search,https://www.crunchbase.com/organization/metric-7702,,"Analytics, Artificial Intelligence (AI), Computer Vision, Consulting, Generative AI, Information Technology, Machine Learning, Natural Language Processing, Predictive Analytics, Text Analytics","Yerevan, Yerevan, Armenia",309161.0,Middle East and North Africa (MENA),year,,,,,For Profit,metric-am,1965,https://www.facebook.com/metric.am,https://twitter.com/metric_am,https://www.metric.am,#ERROR!,info@metric.am,,,,,,,,33.0,Private,,,,,,,,,,,,,,,,11-50,1.0,Hrant Davtyan,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Professional Services, Science and Engineering, Software",Active,,,,,,,,,0.0,0.0,0.0,22,94,,,,,,,,,,,,True,False,"Yerevan, Yerevan, Armenia",94,Metric,,2019-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2499297160528535,,True,True,Armenia,Western Asia,0.0,0.0
1792,Techspert,1.4 (ML Consultancy.Strong fit),1,1.0,,,"Techspert is an AI-driven technology for identifying and sourcing specialist expertise, globally.","techspert.io uses AI for next generation primary research and business intelligence. techspert.io started life in the healthcare sector, where co-founders Graham and David personally experienced how slow, laborious and costly it was to connect to the right people. On teaming up with Hari, and developing an AI-based solution to interrogate expertise, they realised that their technology would add value across all sectors, globally, no matter how niche the expertise required. The team has now grown to include Computer Science PhDs, software developers, and experienced client relations managers, and the company is servicing large consultancies and private equity groups. They are, though, just at the start of their journey to democratise access to knowledge for a better world, and they are guided by their core values of curiosity, empathy, commitment, and ambition as they strive to revolutionise knowledge exchange.",,crunchbase search,https://www.crunchbase.com/organization/biotechspert-ltd,,"Artificial Intelligence (AI), Consulting","Cambridge, Cambridgeshire, United Kingdom",38917.0,"Europe, Middle East, and Africa (EMEA)",day,,,,,For Profit,10533787,1792,,https://www.twitter.com/techspertio,https://techspert.com,01223 320 560,hello@techspert.io,,,,,,,,6.0,Private,,,,,,,,,,,"Business Growth Fund, ACF Investors, Nauta Capital, Martlet Capital, Cambridge Angels group",2.0,11.0,5.0,Early Stage Venture,51-100,2.0,"David Holden-White, Graham Mills","Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",Active,,,,,,,,,0.0,0.0,0.0,47,73,,,,,,,,,,,,True,False,"Cambridge, Cambridgeshire, United Kingdom",73,Techspert,,2016-06-15 00:00:00,Unknown,Unknown,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2499297160528535,,True,True,United Kingdom,Northern Europe,0.0,0.0
2267,ReqPOOL,1.3 (category.score),1,1.0,,,ReqPOOL provides and offers consulting services on information technology solutions for businesses.,"ReqPOOL provides and offers consulting services on information technology solutions for businesses. It uses requirements catalogs, software analysis tools, and artificial intelligence technology to support digital projects. ReqPOOL was founded in 2001 and is based in Linz, Austria.",,crunchbase search,https://www.crunchbase.com/organization/reqpool,,"Consulting, Information Technology, Software","Linz, Oberosterreich, Austria",1037182.0,"European Union (EU), Europe, Middle East, and Africa (EMEA)",year,,,,,For Profit,reqpool-gmbh,2267,https://www.facebook.com/reqpool,https://twitter.com/reqpool,http://www.reqpool.com/en,#ERROR!,office@reqpool.com,,,,,,,,12.0,Private,,,,,,,,,,,tech2b Inkubator,,1.0,1.0,,101-250,1.0,Florian Schnitzhofer,"Information Technology, Professional Services, Software",Active,,,,,,,,,0.0,0.0,0.0,64,71,,,,,,,,,,,,True,False,"Linz, Oberosterreich, Austria",71,ReqPOOL,,2001-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2499297160528535,,True,True,Austria,Western Europe,0.0,0.0
2748,Chase Consultancy Services,,1,,1,,Chase Consultancy Services provides technology consulting services across sectors.,"Chase Consultancy Services provides technology consulting services across sectors such as banking, telecom, gaming, and retail. Its offerings include enterprise IT solutions, automation, artificial intelligence, and machine learning applications. The company delivers services like IT outsourcing, web hosting, help desk management, and data processing. Additionally, it offers business consulting services, including accounting, digital asset management, and legal support. Chase Consultancy Services also operates an assessment center that evaluates candidates' job-related skills through standardized testing processes.",,crunchbase search,https://www.crunchbase.com/organization/chase-consultancy-services,,"Business Intelligence, Consulting, Information Technology, Office Administration","Cochin, Kerala, India",3488251.0,Asia-Pacific (APAC),year,,,,,For Profit,chase-consultancy-services,2748,https://www.facebook.com/chase.hr,,https://www.chasehr.in,#ERROR!,infocochin@chasehr.in,,,,,,,,10.0,Private,,,,,,,,,,,,,,,,11-50,,,"Administrative Services, Data and Analytics, Information Technology, Professional Services",Active,,,,,,,,,0.0,0.0,0.0,0,29,,,,,,,,,,,,True,False,"Cochin, Kerala, India",29,Chase Consultancy Services,,2006-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2499297160528535,,True,True,India,Southern Asia,0.0,0.0
407,Systemware Innovation,"3.5 (Other.Strong fit)

The company description clearly indicates that Systemware Innovation is a general software and engineering consulting firm with business intelligence and analytics solutions. While they may use some data analysis techniques, there is no specific mention of machine learning, deep learning, or reinforcement learning services (Category 1), nor do they appear to conduct fundamental AI research (Category 2). The description points to a traditional IT consulting company with a focus on software development, integration, and project management across various industries, making it a strong fit for Category 3 (Other).",1,,1,,Systemware Innovation offering dependable technology consulting services.,"Systemware Innovation is a full service software and engineering consulting firm with a 35-year track record of successfully delivering value added solutions to enterprise customers, primarily in the financial, energy and transportation sectors, including specialized solutions for the nuclear industry. SWI is an industry leader in Business Intelligence and Analytics Solutions that assist customers achieve business insight, while improving overall processes. SWI also offers a full range of software consulting services, ranging from software development and integration to strategic planning and project management. SWI has built strong, lasting, long-term relationships with its customers and is trusted to bring business expertise and flawless project execution to high impact technology projects.",,arxiv affiliation meta-data,https://www.crunchbase.com/organization/systemware-innovation,,"Consulting, Information Technology","Toronto, Ontario, Canada",558384.0,Great Lakes,year,2017-04-03,day,,,For Profit,407,407,https://www.facebook.com/alithya,https://twitter.com/swicorp,http://www.swi.com,(416)932-4700,sales@swi.com,,,,1.0,0.0,,,2.0,Private,,Systemware Innovation acquired by Alithya,https://www.crunchbase.com/acquisition/alithya-acquires-systemware-innovation--25f97906,Alithya,https://www.crunchbase.com/organization/alithya,2017-04-03,day,Acquisition,,Was Acquired,,,,,M&A,101-250,1.0,Mark Notten,"Information Technology, Professional Services",Active,,,,,,,,,0.0,0.0,0.0,9,26,,,,,,,,,,,,True,False,"Toronto, Ontario, Canada",26,Systemware Innovation,,1978-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2499297160528535,,True,True,Canada,Northern America,0.0,0.0
2133,Total Synergy Consulting,"3.4 (Other - Strong fit)

This company primarily provides management and IT consultancy services with a focus on project design, management supervision, and public policy. While AI is mentioned in the industry tags, the core business appears to be general consulting across various domains with urban development as a specialty. It doesn't demonstrate specialized ML consultancy as its primary offering (Category 1) nor does it conduct fundamental AI research (Category 2). The strong fit with ""Other"" is due to its clear focus on general management and IT consulting services.",1,,1,,"Total Synergy Consulting provides management and IT consulting services, project design, and public policy services.","Total Synergy Consulting Private Limited (TSCPL) offers a range of Management and IT consultancy services. The company provides project design, management and supervision consultancy, and public policy services. TSCPL has worked on a variety of consultancy projects for clients from diverse industries in both the public and private sectors. The company also offers a Young Professional Programme (YPP) which provides career development opportunities for motivated individuals. TSCPL has extensive experience in working on urban development consulting.",,crunchbase search,https://www.crunchbase.com/organization/total-synergy-consulting,,"Artificial Intelligence (AI), Consulting, Information Technology","New Delhi, Delhi, India",641583.0,Asia-Pacific (APAC),year,,,,,For Profit,2133,2133,https://www.facebook.com/TotalSynergyConsultingPvtLtd,,https://tscpl.com,#ERROR!,info@tscpl.com,,,,,,,,2.0,Private,,,,,,,,,,,,,,,,11-50,1.0,Sanjay Saxena,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Professional Services, Science and Engineering, Software",Active,,,,,,,,,0.0,0.0,0.0,5,21,,,,,,,,,,,,True,False,"New Delhi, Delhi, India",21,Total Synergy Consulting,,1988-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2499297160528535,,True,True,India,Southern Asia,0.0,0.0
2430,The Idea Works,,1,,1,,"The Idea Works provides research, software, data, and consulting services.","The Idea Works is a software development company. They develop social science computing programs and services for researchers and educators. They build software programs using artificial intelligence, machine learning, and statistics for social scientists, political campaigns, media organizations, and defence contractors.",,crunchbase search,https://www.crunchbase.com/organization/the-idea-works-b68a,,"Artificial Intelligence (AI), Consulting, Machine Learning, Software","Columbia, Missouri, United States",1655577.0,Midwestern US,year,,,,,For Profit,the-idea-works-inc.,2430,,,https://www.ideaworks.com,#ERROR!,support@ideaworks.com,,,,,,,,10.0,Private,,,,,,,,,,,,,,,,11-50,1.0,Ed Brent,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",Active,,,,,,,,,0.0,0.0,0.0,1,20,,,,,,,,,,,,True,False,"Columbia, Missouri, United States",20,The Idea Works,,1981-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2499297160528535,,True,True,United States,Northern America,0.0,0.0
