id,organization_name,Claude Rating,Combined,MAX Human rating Fit yes / no,RED Human rating Fit yes / no,Comments,Description,Full Description,Organization Category,Source,Organization Name URL,Stage,Industries,headquarters_location,CB Rank (Company),Headquarters Regions,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,linkedin_id,ID_copy,Facebook,Twitter,Website,Phone Number,Contact Email,IT Spend,IT Spend Currency,IT Spend (in USD),Trademarks Registered,Patents Granted,Average Visits (6 months),Monthly Visits,Similar Companies,IPO Status,IPO Date,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Acquisition Type,Number of Acquisitions,Acquisition Status,Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Funding Rounds,Funding Status,Number of Employees,Number of Founders,Founders,Industry Groups,Operating Status,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Exits (IPO),Number of Exits,Number of Diversity Investments,Number of Lead Investments,filter_broad_yes,filter_strict_no,filter_broad_yes_strict_no,filter_non_english_keywords_CV,total_headcount,claude_total_employees,claude_total_rejected,claude_total_accepted,gpt5_total_employees,gpt5_total_rejected,gpt5_total_accepted,gemini_total_employees,gemini_total_rejected,gemini_total_accepted,stage_reached,category,max_headcount,max_population,Headquarters Location,Total Headcount,Organization Name,Stage Reached,Founded Date,country,subregion,ml_share,ml_share_lower80,ml_share_upper80,mean,q10,q50,q90,synthetic_mean,synthetic_q10,synthetic_q50,synthetic_q90,adjusted_synthetic_mean,adjusted_synthetic_q10,adjusted_synthetic_q50,adjusted_synthetic_q90,synthetic_adjustment_factor,headcount_ratio,headcount_mismatch,use_synthetic_probit,Country,Subregion,ml_estimate,ml_share_calc
1556,Genpact,"3.4 (Other.Strong fit)

Genpact appears to be primarily a business process management and IT services company that incorporates AI as part of its broader technology offerings. While it does list AI as one of its services, it's not exclusively focused on ML consultancy (category 1) as it provides a wide range of other IT and business process services. It also doesn't conduct fundamental AI research like category 2 organizations. The strong fit with category 3 reflects its nature as a general IT services and business process company that uses AI as one of many tools in its portfolio.",1,,1,,"Genpact is an information technology firm that offers business management, artificial intelligence, automation, and cloud services.","Genpact is a business process management and IT services company that helps clients enhance operations through processes, analytics, and technology. The company serves industries like banking, insurance, retail, life sciences, and healthcare, offering services such as finance and accounting, analytics, IT management, supply chain, and procurement. Genpact operates across multiple sectors to drive business efficiency and intelligence.",,ML conferences affiliation data,https://www.crunchbase.com/organization/genpact,,"Analytics, Artificial Intelligence (AI), Business Process Automation (BPA), Consulting, Information Technology, Software","New York, New York, United States",5382.0,"Greater New York Area, East Coast, Northeastern US",year,2007-08-10,day,,,For Profit,genpact,1556,https://www.facebook.com/ProudToBeGenpact,https://x.com/Genpact,https://www.genpact.com,#ERROR!,corporate.communications@genpact.com,46424.0,USD,46424.0,0.0,2.0,765271.33,475072.0,9.0,Public,2007-08-10,,,,,,,,29.0,Made Acquisitions,General Atlantic,,1.0,2.0,IPO,10001,1.0,Pramod Bhasin,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Professional Services, Science and Engineering, Software",Active,,,1.0,1.0,,,,,582.0,384.0,28.0,12000,130000,,,,,,,,,,,,True,True,"New York, New York, United States",130000,Genpact,,1997-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,11.2705078125,0.0,7.0,28.0,30.029296875,3.0,20.0,68.0,24.02478834556343,2.400134952766532,16.000899685110213,54.40305892937472,1.2499297160528535,,True,True,United States,Northern America,7.0,5.384615384615385e-05
2620,Supply Solutions,"3.5 (Other.Strong fit)

The description clearly indicates Supply Solutions is primarily a procurement consulting company that helps businesses optimize their supply chains and reduce costs. While they do offer ""AI-powered software solutions"" as part of their services, this appears to be just one component of their broader procurement consulting business. They don't specifically focus on providing ML/DL/RL solutions (category 1) as their core business, nor do they conduct fundamental AI research (category 2). The company fits best in category 3 (Other) with a strong confidence score of 5, as it's clearly a procurement consulting firm that happens to use AI tools rather than an AI-focused company.",1,,1,,"Supply Solutions provides procurement consulting services, AI-powered software, and managed services to optimize procurement processes.","Supply Solutions offers procurement consulting services. Their main focus is on helping businesses reduce expenditures and improve efficiencies throughout their systems. They provide a comprehensive contract portfolio, data, technology, and consulting services. Their services are designed to help businesses optimize their procurement processes and supply chains. They also offer AI-powered software solutions to enhance procurement and supply operations. In addition, they provide managed services and outsourcing solutions to help businesses manage their procurement processes more effectively.",,crunchbase search,https://www.crunchbase.com/organization/supply-solutions-1ff0,,"Consulting, Procurement, Shopping","São Caetano Do Sul, Sao Paulo, Brazil",2608594.0,Latin America,year,,,,,For Profit,supply-solutions---procurement-consulting-services,2620,https://www.facebook.com/profile.php?id=100063662434305&locale=az_AZ&paipv=0&eav=Afb1Ab8rmo7nw8_uPux9Yj9O7SR0fP8OXfC0zzEW1oqSI-9V1islSm-CTxl5P-lv4nU&_rdr,,https://ssolutions.com.br,#ERROR!,contato@ssolutions.com.br,,,,,,,,7.0,Private,,,,,,,,,,,,,,,,51-100,2.0,"Eliane Kanashiro, Marcio Ito","Commerce and Shopping, Professional Services, Transportation",Active,,,,,,,,,0.0,0.0,0.0,4800,47000,17.0,17.0,0.0,17.0,17.0,0.0,17.0,17.0,0.0,,,True,False,"São Caetano Do Sul, Sao Paulo, Brazil",47000,Supply Solutions,,2002-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,4.2021484375,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2499297160528535,2764.705882352941,True,True,Brazil,South America,3.0,6.382978723404255e-05
1504,AND Technology Research,"3.5 (Other.Strong fit)

This company appears to be an engineering research and development services firm focused on medical and professional services, without specific mention of machine learning or AI research activities. It most strongly fits the ""Other"" category as a general engineering consultancy.",1,,1,,AND Technology Research provides expert engineering design and development services.,,,ML conferences affiliation data,https://www.crunchbase.com/organization/and-technology-research,,"Consulting, Medical","Epping, Essex, United Kingdom",3608727.0,"Europe, Middle East, and Africa (EMEA)",day,,,,,For Profit,and-technology-research-ltd.,1504,https://www.facebook.com/ANDTechnologyResearch/,https://twitter.com/ANDTechResearch,http://www.andtr.com,,and@andtr.com,126700.0,USD,126700.0,,,,363.0,3.0,Private,,,,,,,,,,,,,,,,11-50,,,"Health Care, Professional Services",Active,,,,,,,,,0.0,0.0,0.0,11000,38000,8.0,8.0,0.0,8.0,8.0,0.0,8.0,8.0,0.0,,,True,False,"Epping, Essex, United Kingdom",38000,AND Technology Research,,1980-06-11 00:00:00,Unknown,Unknown,0.0,0.0,0.0,3.5625,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2499297160528535,4750.0,True,True,United Kingdom,Northern Europe,2.0,5.2631578947368424e-05
1133,FPT Software,"3.5 (Other.Strong fit)

FPT Software appears to be primarily a software outsourcing company that handles general software development projects across multiple industries. While they may incorporate some ML elements in their projects, their core business model is centered on software outsourcing services rather than specialized ML consulting or fundamental AI research. The description emphasizes their broad software development capabilities across diverse industries without specific mention of AI or ML specialization.",1,,1,,FPT Software is a provider of software outsourcing services.,"FPT Software – the Software Powerhouse - Vietnam’s largest and one of the fastest growing software outsourcing companies. - Over 6,000 software outsourcing projects and a total volume of 2.5 million man-days in the last 10 years. - A broad presence in diverse global markets. - Specialist in shaping world-class networks of global delivery centers.",,ML conferences affiliation data,https://www.crunchbase.com/organization/fpt-software,,"Advertising, E-Commerce, Health Care","New York, New York, United States",174697.0,"Greater New York Area, East Coast, Northeastern US",year,,,,,For Profit,208401,1133,https://www.facebook.com/fptsoftware.official,https://www.twitter.com/fpt_software,http://www.fpt-software.com/,#ERROR!,recruitment@fsoft.com.vn,61957804.0,USD,61957804.0,5.0,0.0,64263.33,56516.0,8.0,Private,,,,,,,,,2.0,Made Acquisitions,Mekong Capital,,1.0,1.0,Private Equity,10001,3.0,"Bui Quang Ngoc, Do Cao Bao, Thanh Huong Nguyen","Advertising, Commerce and Shopping, Health Care, Sales and Marketing",Active,,,2.0,2.0,,,,2.0,92.0,199.0,9.0,1000,26000,,,,,,,,,,,,True,True,"New York, New York, United States",26000,FPT Software,,1988-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,,,,,7.2568359375,0.0,5.0,17.0,5.805795193362011,0.0,4.000224921277553,13.60076473234368,1.2499297160528535,,True,True,United States,Northern America,4.000224921277553,0.00015385480466452127
312,IFG,"3.5 (Other.Strong fit)

The description clearly indicates IFG is a strategy & IT consulting firm offering technology solutions, hosting, managed solutions, and professional resource management. While they work in IT consulting, there is no specific mention of machine learning, deep learning, or reinforcement learning services, which would be needed for category 1. They also don't appear to conduct fundamental AI research, ruling out category 2. This firmly places them in category 3 (Other) with a strong confidence score (4).",1,,1,,"IFG is a strategy & IT consulting firm that offers technology solutions, hosting & managed solutions, and professional resource management.",,,arxiv affiliation meta-data,https://www.crunchbase.com/organization/ifg,,"Consulting, Information Technology, Project Management, Software, Technical Support","Sacramento, California, United States",273131.0,"West Coast, Western US",year,,,,,For Profit,the-ifish-group-inc-,312,https://www.facebook.com/ifishgroup,https://twitter.com/ifishgroup,https://www.ifishgroup.com,916-231-4115,info@ifishgroup.com,683002.0,USD,683002.0,,,,215.0,13.0,Private,,,,,,,,,,,,,,,,11-50,,,"Administrative Services, Information Technology, Other, Professional Services, Software",Active,,,,,,,,,13.0,6.0,0.0,1300,4800,24.0,24.0,0.0,24.0,24.0,0.0,24.0,24.0,0.0,,,True,True,"Sacramento, California, United States",4800,IFG,,2008-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,4.3857421875,0.0,3.0,10.0,9.947265625,2.0,8.0,21.0,7.958259970338506,1.6000899685110213,6.400359874044085,16.800944669365723,1.2499297160528535,200.0,True,True,United States,Northern America,3.0,0.000625
1337,SAIT,"3.5 (Other.Strong fit)

This company appears to be a general IT services firm that provides software development and system integration, with a focus on RFID hardware and software solutions. There's no specific mention of machine learning, AI services, or fundamental AI research in the description, making it clearly fall into the ""Other"" category with a strong confidence level.",1,,1,,SAIT is an information technology company that specializes in software development and system integration solutions.,,,ML conferences affiliation data,https://www.crunchbase.com/organization/sait,,"Information Technology, RFID, Software","Brescia, Lombardia, Italy",516394.0,"European Union (EU), Europe, Middle East, and Africa (EMEA)",year,,,,,For Profit,saitsrl,1337,https://www.facebook.com/SAIT-Srl-824135337681449,https://twitter.com/saitsrl,https://www.saitweb.it,#ERROR!,,1218075.0,USD,1218075.0,1.0,0.0,,1636.0,30.0,Private,,,,,,,,,,,,,,,,11-50,,,"Hardware, Information Technology, Software",Active,,,,,,,,,37.0,3.0,0.0,1700,4800,24.0,24.0,0.0,24.0,24.0,0.0,24.0,24.0,0.0,,,True,True,"Brescia, Lombardia, Italy",4800,SAIT,,1997-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,4.1748046875,0.0,3.0,10.0,9.9814453125,2.0,7.0,21.0,7.985605257886302,1.6000899685110213,5.600314889788574,16.800944669365723,1.2499297160528535,200.0,True,True,Italy,Southern Europe,3.0,0.000625
1240,CAS,"3.5 (Other.Strong fit)

The description indicates CAS is an IT services company working across multiple sectors (financial, insurance, industrial, retail) but doesn't specifically mention ML, AI, deep learning, or any AI research activities. It appears to be a general IT services/consulting company, making it a strong fit for the ""Other"" category.",1,,1,,"CAS is a dynamic company that renders its wide range of IT services within the financial, insurance, industrial and retail sectors.",,,ML conferences affiliation data,https://www.crunchbase.com/organization/cas-32fe,,"Consulting, Financial Services, Retail","Hamburg, Hamburg, Germany",283480.0,"European Union (EU), Europe, Middle East, and Africa (EMEA)",year,,,,,For Profit,cas-concepts-and-solutions-ag,1240,,,https://www.c-a-s.de/,-405389891,info@cas.de,,,,,,,4692.0,8.0,Private,,,,,,,,,,,,,,,,101-250,,,"Commerce and Shopping, Financial Services, Professional Services",Active,,,,,,,,,30.0,9.0,2.0,680,4600,90.0,90.0,0.0,90.0,90.0,0.0,90.0,90.0,0.0,,,True,True,"Hamburg, Hamburg, Germany",4600,CAS,,1988-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,3.8544921875,0.0,3.0,9.0,9.830078125,2.0,7.5,21.0,7.864504698746064,1.6000899685110213,6.00033738191633,16.800944669365723,1.2499297160528535,51.111111111111114,True,True,Germany,Western Europe,3.0,0.0006521739130434783
33,BairesDev,"3.5 (Other - Strong fit)

The description clearly presents BairesDev as a general software development outsourcing company. While they may offer some ML services as part of their broader portfolio, there's no specific mention of machine learning, AI, or research capabilities in the description. They position themselves as a nearshore software development partner providing various staffing and development services across multiple industries. This makes them a strong fit for the ""Other"" category as they don't primarily focus on ML consulting or AI research.",1,,1,,"BairesDev is your partner for precise, rapid outsourced software development.","BairesDev is your nearshore partner for software development. Our approach centers on understanding before action, offering tailored solutions: dedicated teams, outsourced projects, staff augmentation, and more. With over a decade of experience, BairesDev has collaborated with startups, SMBs, Fortune Global 500 companies, and industry disruptors across the world. Our clients include brands like Google, J&J, and Rolls Royce. We employ a team of 4,000+ rigorously vetted bilingual software professionals from the Americas and the Caribbean. They represent the top 1% of talent across 50 countries. Our track record boasts hundreds of satisfied clients and on-budget, on-time project delivery. We're ready to provide the same high-quality results for you. We transform your biggest business and tech challenges into value-driven outcomes and lasting partnerships.",,Manual Search + Network,https://www.crunchbase.com/organization/bairesdev,,"Big Data, Outsourcing, Software, Software Engineering, Web Development","San Francisco, California, United States",57627.0,"San Francisco Bay Area, West Coast, Western US",month,,,,,For Profit,bairesdev,33,http://www.facebook.com/BairesDev,http://twitter.com/bairesdev,https://www.bairesdev.com,1 (408) 478-2739,info@bairesdev.com,119993250.0,USD,119993250.0,2.0,0.0,1186772.67,981838.0,13.0,Private,,,,,,,,,,,,,,,,1001-5000,2.0,"Nacho De Marco, Paul Azorin","Data and Analytics, Professional Services, Science and Engineering, Software",Active,,,,,,,,,60.0,20.0,0.0,2300,3100,2491.0,2489.0,2.0,2493.0,2481.0,12.0,2483.0,2455.0,28.0,,,True,True,"San Francisco, California, United States",3100,BairesDev,,2009-06-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,3.5146484375,0.0,3.0,8.0,8.181640625,1.0,6.0,18.0,6.54568054501237,0.8000449842555106,4.800269905533064,14.40080971659919,1.2499297160528535,1.244480128462465,False,False,United States,Northern America,3.0,0.000967741935483871
1188,Kainos,"3.5 (Other.Strong fit)

Kainos is primarily a software development and IT consulting company focused on sectors like public services, healthcare, and financial services. While they likely use technology that includes some AI components, their core business is not specifically ML consultancy or pure AI research. Their focus on providing digital technology solutions, implementation services for Workday, and healthcare record products fits strongly in the ""Other"" category.",1,,1,,"Kainos provide digital technology solutions that enable companies to work smarter, faster, better.","Kainos Software Limited is a privately held software company headquartered in Belfast, Northern Ireland that develops information technology solutions for businesses and organisations particularly in the public, healthcare and financial services sectors. The company also provides consulting and support services. Kainos has offices in the UK, Ireland, Poland and the U.S., and provides services to its customers across Europe, the Middle East, Africa and North America. Kainos is one of Workday’s main implementation partners for the Workday SaaS product, and have developed Kainos Smart, an automated testing tool for Workday implementations. In the UK, Kainos provide an electronic medical record product for the digitisation of patient notes in the NHS called Evolve. The company also has a long-standing partnership with Autonomy delivering projects to organisations in Europe and Africa. Kainos has been a Microsoft Gold Certified Partner for more than 10 years, and was one of Microsoft's first Gold partners. Today, Kainos is one of Northern Ireland's largest high-tech companies, and one of the top companies in the UK and Ireland.",,ML conferences affiliation data,https://www.crunchbase.com/organization/kainos-software,,"Consulting, Financial Services, Health Care, Information Technology, Software","Belfast, Belfast, United Kingdom",233206.0,"Europe, Middle East, and Africa (EMEA)",day,2015-07-10,day,,,For Profit,kainos,1188,http://www.facebook.com/KainosSoftware,http://twitter.com/KainosSoftware,http://www.kainos.com,617 217 2704,info@kainos.com,3056458.0,USD,3056458.0,,,,26234.0,10.0,Public,2015-07-10,,,,,,,,6.0,Made Acquisitions,QUBIS,,1.0,1.0,IPO,501-1000,1.0,Frank Graham,"Financial Services, Health Care, Information Technology, Professional Services, Software",Active,,,2.0,2.0,,1.0,,,26.0,16.0,0.0,585,2900,2334.0,2334.0,0.0,2332.0,2329.0,3.0,2327.0,2322.0,5.0,,,True,True,"Belfast, Belfast, United Kingdom",2900,Kainos,,1986-04-14 00:00:00,Unknown,Unknown,0.0,0.0,0.0,2.7431640625,0.0,2.0,6.0,7.06640625,1.0,5.0,16.0,5.6534428770242915,0.8000449842555106,4.000224921277553,12.80071974808817,1.2499297160528535,1.2425021422450728,False,False,United Kingdom,Northern Europe,2.0,0.000689655172413793
2644,Tech Valley,"3.4 (Other - Strong fit)

While the company mentions artificial intelligence as one of their service areas, their primary focus appears to be general IT consulting, services, outsourcing, and training/education programs. They seem to be a broader IT services company that includes AI among their offerings, rather than specializing specifically in ML consultancy (category 1) or conducting fundamental AI research (category 2). The strong fit with category 3 reflects that they're clearly a technology company, but one with a much broader service portfolio than the specialized AI categories.",1,,1,,"Tech Valley offers consulting, outsourcing, artificial intelligence, and IT services.","TECH VALLEY is a company that specializes in IT services and IT consulting. They offer a range of services including consulting in computer engineering and information systems. They also provide unique career exploration programs that equip students with important career life skills. In addition, they offer custom IT consulting and staff augmentation services. They also provide flexible, self-paced online training that prepares learners for a new career in as little as six months, without needing prior experience or a degree.",,crunchbase search,https://www.crunchbase.com/organization/tech-valley-7498,,"Artificial Intelligence (AI), Consulting, Information Technology, Outsourcing, Security","Perpignan, Languedoc-Roussillon, France",2746337.0,"European Union (EU), Europe, Middle East, and Africa (EMEA)",year,,,,,For Profit,tech-valley-tvy,2644,https://www.facebook.com/TechValley66/,,https://techvalley.fr,#ERROR!,contact@techvalley.fr,,,,,,,,5.0,Private,,,,,,,,,,,,,,,,51-100,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Professional Services, Science and Engineering, Software",Active,,,,,,,,,0.0,0.0,0.0,468,2300,57.0,57.0,0.0,57.0,57.0,0.0,57.0,57.0,0.0,,,True,False,"Perpignan, Languedoc-Roussillon, France",2300,Tech Valley,,2014-01-01 00:00:00,Unknown,Unknown,0.0,0.0,0.0,1.9833984375,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2499297160528535,40.35087719298246,True,True,France,Western Europe,1.0,0.0004347826086956522
